antecedent	consequent	count	mean_confidence	max_confidence	mean_lift	max_lift
v@IPR007706	h@GO0005737	2	0.717	0.7264	0.3259	0.3532
v@GO0000988	h@GO0006807	6	0.7147	0.7195	0.3717	0.3784
v@GO0001071	h@GO0006807	23	0.7469	0.7723	0.3881	0.4062
v@GO0019042	h@GO0006807	11	0.7263	0.7329	0.3797	0.3855
v@GO0019079	h@GO0006807	14	0.7421	0.7966	0.3828	0.419
v@GO0019083	h@GO0006807	15	0.7248	0.7361	0.3765	0.3871
v@GO0019222	h@GO0006807	27	0.7252	0.7657	0.3805	0.4027
v@GO0044094	h@GO0006807	29	0.7415	0.8197	0.3875	0.4311
v@GO0048518	h@GO0006807	15	0.7268	0.7723	0.3817	0.4062
v@GO0065009	h@GO0006807	16	0.7275	0.7672	0.3826	0.4035
v@IPR000427	h@GO0006807	16	0.7357	0.7578	0.3802	0.3985
v@IPR004186	h@GO0006807	16	0.7357	0.7578	0.3802	0.3985
v@IPR005030	h@GO0006807	8	0.7216	0.7343	0.3764	0.3862
v@IPR010881	h@GO0006807	11	0.7263	0.7329	0.3797	0.3855
v@IPR020124	h@GO0006807	11	0.7776	0.8176	0.339	0.43
v@GO0032879	h@GO0016020	20	0.8478	0.8834	0.4837	0.5239
v@GO0033644	h@GO0016020	19	0.8044	0.9088	0.477	0.5389
v@GO0033655	h@GO0016020	21	0.8251	0.9088	0.4893	0.5389
v@GO0044217	h@GO0016020	19	0.8044	0.9088	0.477	0.5389
v@GO0044425	h@GO0016020	18	0.7963	0.9018	0.4722	0.5348
v@GO0048583	h@GO0016020	12	0.8456	0.9452	0.5014	0.5605
v@IPR002475	h@GO0016020	13	0.8629	0.9452	0.4823	0.5605
v@IPR004289	h@GO0016020	1	0.7512	0.7512	0.4455	0.4455
v@IPR007619	h@GO0016020	5	0.8056	0.8418	0.465	0.4992
v@IPR010677	h@GO0016020	2	0.7904	0.8529	0.38	0.5058
v@IPR020726	h@GO0016020	9	0.8509	0.9452	0.4616	0.5605
v@IPR026298	h@GO0016020	13	0.889	0.9452	0.5171	0.5605
h@GO0019083	v@GO0019222	20	0.787	0.8487	0.1909	0.2083
h@GO0019083	v@GO0033647	21	0.856	0.9474	0.4021	0.4671
h@GO0019083	v@GO0050794	21	0.8065	0.8816	0.2616	0.2928
v@GO0001071	h@GO0019222	20	0.7447	0.766	0.3582	0.3723
v@IPR000427	h@GO0019222	12	0.7351	0.7453	0.3534	0.3622
v@IPR004186	h@GO0019222	12	0.7351	0.7453	0.3534	0.3622
v@IPR007706	h@GO0019222	10	0.7529	0.7629	0.3609	0.3708
v@IPR020124	h@GO0019222	4	0.7111	0.723	0.2638	0.3514
v@GO0000988	h@GO0032991	3	0.7069	0.7114	0.3261	0.3282
v@IPR005030	h@GO0032991	5	0.7091	0.7269	0.3271	0.3353
v@IPR020124	h@GO0032991	12	0.7827	0.8716	0.2695	0.4021
v@GO0000988	h@GO0043227	5	0.8601	0.8902	0.6619	0.72
v@GO0001071	h@GO0043227	25	0.8363	0.8911	0.6257	0.7207
v@GO0002682	h@GO0043227	37	0.8453	0.898	0.6795	0.7263
v@GO0003824	h@GO0043227	24	0.739	0.7963	0.5977	0.644
v@GO0006807	h@GO0043227	31	0.8194	0.9381	0.6577	0.7588
v@GO0009058	h@GO0043227	28	0.8474	0.9381	0.6798	0.7588
v@GO0009605	h@GO0043227	31	0.8421	0.898	0.6795	0.7263
v@GO0009607	h@GO0043227	31	0.8421	0.898	0.6795	0.7263
v@GO0016020	h@GO0043227	24	0.8002	0.8517	0.6472	0.6889
v@GO0016043	h@GO0043227	11	0.7887	0.8864	0.6379	0.7169
v@GO0019033	h@GO0043227	27	0.758	0.8544	0.6131	0.6911
v@GO0019042	h@GO0043227	13	0.8461	0.8944	0.6314	0.7234
v@GO0019046	h@GO0043227	6	0.8027	0.8636	0.6492	0.6985
v@GO0019048	h@GO0043227	36	0.844	0.9159	0.6813	0.7408
v@GO0019079	h@GO0043227	17	0.81	0.9375	0.583	0.7582
v@GO0019083	h@GO0043227	15	0.8481	0.8912	0.646	0.7208
v@GO0019222	h@GO0043227	40	0.8589	0.9381	0.6905	0.7588
v@GO0023051	h@GO0043227	30	0.8464	0.9104	0.6829	0.7364
v@GO0030430	h@GO0043227	38	0.841	0.9104	0.6789	0.7364
v@GO0032879	h@GO0043227	20	0.8303	0.8528	0.6462	0.6897
v@GO0033644	h@GO0043227	25	0.8077	0.8585	0.6533	0.6943
v@GO0033647	h@GO0043227	51	0.8187	0.8946	0.6612	0.7236
v@GO0033655	h@GO0043227	29	0.8268	0.8917	0.6672	0.7212
v@GO0036094	h@GO0043227	10	0.7195	0.7643	0.582	0.6182
v@GO0043167	h@GO0043227	29	0.7771	0.9375	0.6285	0.7582
v@GO0043900	h@GO0043227	4	0.9339	0.9524	0.7076	0.7703
v@GO0044094	h@GO0043227	29	0.8791	0.918	0.6902	0.7425
v@GO0044217	h@GO0043227	25	0.8077	0.8585	0.6533	0.6943
v@GO0044237	h@GO0043227	31	0.8247	0.9381	0.662	0.7588
v@GO0044238	h@GO0043227	31	0.8194	0.9381	0.6577	0.7588
v@GO0044419	h@GO0043227	41	0.8343	0.9003	0.6736	0.7282
v@GO0044425	h@GO0043227	22	0.8099	0.8509	0.6551	0.6882
v@GO0046755	h@GO0043227	10	0.7224	0.7282	0.5843	0.589
v@GO0046794	h@GO0043227	5	0.7336	0.75	0.5934	0.6066
v@GO0048518	h@GO0043227	26	0.8464	0.8911	0.6783	0.7207
v@GO0048519	h@GO0043227	39	0.8497	0.9049	0.686	0.7319
v@GO0048583	h@GO0043227	38	0.8513	0.898	0.6872	0.7263
v@GO0050690	h@GO0043227	31	0.8421	0.898	0.6795	0.7263
v@GO0050794	h@GO0043227	39	0.8511	0.95	0.6843	0.7684
v@GO0051234	h@GO0043227	5	0.7381	0.75	0.597	0.6066
v@GO0051641	h@GO0043227	9	0.7257	0.7383	0.587	0.5971
v@GO0051707	h@GO0043227	31	0.8421	0.898	0.6795	0.7263
v@GO0065009	h@GO0043227	37	0.8538	0.9002	0.6862	0.7281
v@GO0071704	h@GO0043227	31	0.8194	0.9381	0.6577	0.7588
v@GO0097159	h@GO0043227	31	0.8365	0.918	0.6715	0.7425
v@GO0097367	h@GO0043227	8	0.7263	0.7692	0.5874	0.6222
v@GO1901363	h@GO0043227	31	0.8365	0.918	0.6715	0.7425
v@GO1902579	h@GO0043227	5	0.7336	0.75	0.5934	0.6066
v@IPR000427	h@GO0043227	15	0.8434	0.882	0.6414	0.7134
v@IPR000635	h@GO0043227	1	0.9048	0.9048	0.7318	0.7318
v@IPR002475	h@GO0043227	12	0.8333	0.8699	0.64	0.7035
v@IPR004186	h@GO0043227	15	0.8434	0.882	0.6414	0.7134
v@IPR004289	h@GO0043227	3	0.7692	0.8357	0.5653	0.6759
v@IPR004290	h@GO0043227	3	0.7817	0.825	0.5738	0.6673
v@IPR005030	h@GO0043227	10	0.8284	0.9133	0.5825	0.7387
