xref_partners_sorted,GO,interpro
uniprotkb:P24941%uniprotkb:Q77Q36,"host-GO:0044444,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044707,host-GO:0097367,host-GO:0044763,host-GO:0051716,host-GO:0007017,host-GO:0042221,host-GO:0044702,host-GO:0043229,host-GO:0019904,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0048518,host-GO:0044767,host-GO:0048583,host-GO:0030332,host-GO:0006950,host-GO:0006807,host-GO:0003824,host-GO:0036094,host-GO:0048519,host-GO:0016043,host-GO:0043228,host-GO:0051234,host-GO:0097159,host-GO:0043167,host-GO:0000307,host-GO:0007165,host-GO:0022402,host-GO:0044237,host-GO:0043227,host-GO:0048856,host-GO:0005737,host-GO:0032991,host-GO:0005667,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0000075,virus-GO:0044763","host-IPR011009,host-IPR017441,host-IPR000719,host-IPR008271,virus-IPR006671,virus-IPR015451,virus-IPR015164,virus-IPR017285,virus-IPR013763"
uniprotkb:P11802%uniprotkb:Q77Q36,"host-GO:0044444,host-GO:0044238,host-GO:0044446,host-GO:0044707,host-GO:0097367,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0042221,host-GO:0051239,host-GO:1901363,host-GO:0071704,host-GO:0009607,host-GO:0031090,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0016020,host-GO:0044877,host-GO:0044767,host-GO:0048583,host-GO:0030332,host-GO:0006950,host-GO:0006807,host-GO:0036094,host-GO:0003824,host-GO:0009719,host-GO:0048519,host-GO:0032403,host-GO:0050793,host-GO:0016043,host-GO:0065008,host-GO:0043228,host-GO:0040008,host-GO:0097159,host-GO:0043167,host-GO:0007623,host-GO:0000307,host-GO:0007165,host-GO:0022402,host-GO:0098772,host-GO:0044237,host-GO:0043227,host-GO:0030054,host-GO:0048856,host-GO:0005737,host-GO:0032991,host-GO:0005667,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0044763","host-IPR011009,host-IPR017441,host-IPR000719,host-IPR008271,virus-IPR006671,virus-IPR015451,virus-IPR015164,virus-IPR017285,virus-IPR013763"
uniprotkb:Q13547%uniprotkb:Q2HR82,"host-GO:0044710,host-GO:0044444,host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0043900,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0044419,host-GO:0003682,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0044877,host-GO:0044767,host-GO:0048518,host-GO:0048583,host-GO:0048511,host-GO:0006807,host-GO:0003824,host-GO:0048519,host-GO:0002039,host-GO:0016043,host-GO:0019899,host-GO:0065008,host-GO:0097159,host-GO:0007623,host-GO:0048646,host-GO:0044237,host-GO:0043227,host-GO:0009653,host-GO:0001071,host-GO:0047485,host-GO:0000988,host-GO:0048856,host-GO:0005737,host-GO:0032991,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0044237,virus-GO:0019048,virus-GO:0044238,virus-GO:0071704,virus-GO:0003824,virus-GO:0050794,virus-GO:0019079,virus-GO:0006807,virus-GO:0044419","host-IPR023801,host-IPR000286,host-IPR003084,virus-IPR010805"
uniprotkb:Q2HR82%uniprotkb:Q92769,"host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0042221,host-GO:0003682,host-GO:0051239,host-GO:1901363,host-GO:0071704,host-GO:0009607,host-GO:0009605,host-GO:0050794,host-GO:0044877,host-GO:0044767,host-GO:0048518,host-GO:0048583,host-GO:0006950,host-GO:0048511,host-GO:0006807,host-GO:0009719,host-GO:0003824,host-GO:0048519,host-GO:0003008,host-GO:0050793,host-GO:0016043,host-GO:0034708,host-GO:0019899,host-GO:0065008,host-GO:0097159,host-GO:0007623,host-GO:0048646,host-GO:0044237,host-GO:0043227,host-GO:0044708,host-GO:0009653,host-GO:0048856,host-GO:0005737,host-GO:0031072,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0044237,virus-GO:0019048,virus-GO:0044238,virus-GO:0071704,virus-GO:0003824,virus-GO:0050794,virus-GO:0019079,virus-GO:0006807,virus-GO:0044419","host-IPR023801,host-IPR000286,host-IPR003084,virus-IPR010805"
uniprotkb:F5HDE4%uniprotkb:Q92985,"host-GO:0044444,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044707,host-GO:0002376,host-GO:0051716,host-GO:0044764,host-GO:0051239,host-GO:1901363,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0031090,host-GO:0009605,host-GO:0050794,host-GO:0016020,host-GO:0048518,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0002252,host-GO:0048519,host-GO:0019043,host-GO:0050793,host-GO:0097159,host-GO:0007165,host-GO:0044237,host-GO:0043227,host-GO:0006955,host-GO:0001071,host-GO:0002253,host-GO:0005737,host-GO:0051707,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0050690,virus-GO:0019048,virus-GO:0019033,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0051707,virus-GO:0048583,virus-GO:0065009,virus-GO:0019222,virus-GO:0030430,virus-GO:0044419,virus-GO:0048519","host-IPR011991,host-IPR017855,host-IPR001346,host-IPR019471,host-IPR019817,host-IPR008984"
uniprotkb:F5HDE4%uniprotkb:Q92985-1,"host-GO:0044444,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044707,host-GO:0002376,host-GO:0051716,host-GO:0044764,host-GO:0051239,host-GO:1901363,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0031090,host-GO:0009605,host-GO:0050794,host-GO:0016020,host-GO:0048518,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0002252,host-GO:0048519,host-GO:0019043,host-GO:0050793,host-GO:0097159,host-GO:0007165,host-GO:0044237,host-GO:0043227,host-GO:0006955,host-GO:0001071,host-GO:0002253,host-GO:0005737,host-GO:0051707,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0050690,virus-GO:0019048,virus-GO:0019033,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0051707,virus-GO:0048583,virus-GO:0065009,virus-GO:0019222,virus-GO:0030430,virus-GO:0044419,virus-GO:0048519",
uniprotkb:Q00987%uniprotkb:Q2HR73,"host-GO:0044710,host-GO:0044444,host-GO:0033036,host-GO:0044238,host-GO:0097110,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0040012,host-GO:0042221,host-GO:0007154,host-GO:0051239,host-GO:0019904,host-GO:1901363,host-GO:0009056,host-GO:0071704,host-GO:0031090,host-GO:0042802,host-GO:0050794,host-GO:0016020,host-GO:0048518,host-GO:0044767,host-GO:0048583,host-GO:0051641,host-GO:0044877,host-GO:0009605,host-GO:0006950,host-GO:0006807,host-GO:0009719,host-GO:0003824,host-GO:0045202,host-GO:0048519,host-GO:0005102,host-GO:0050793,host-GO:0002039,host-GO:0016043,host-GO:0019899,host-GO:0065008,host-GO:0043228,host-GO:0051234,host-GO:0097159,host-GO:0043167,host-GO:0007165,host-GO:0022402,host-GO:0044237,host-GO:0043227,host-GO:0047485,host-GO:0009653,host-GO:0032879,host-GO:0043627,host-GO:0048856,host-GO:0005737,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0005886,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0044237,virus-GO:1901363,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0097159,virus-GO:0019222,virus-GO:0006807","host-IPR016495,host-IPR003121,host-IPR013083,host-IPR001876,host-IPR015459,host-IPR028340,host-IPR001841,virus-IPR001346"
uniprotkb:P06748%uniprotkb:Q98147,"host-GO:0044444,host-GO:0033036,host-GO:0008134,host-GO:0044238,host-GO:0044446,host-GO:0044763,host-GO:0042393,host-GO:0051716,host-GO:0009628,host-GO:0007017,host-GO:1901363,host-GO:0071704,host-GO:0042802,host-GO:0050794,host-GO:0044877,host-GO:0048518,host-GO:0051641,host-GO:0016020,host-GO:0044767,host-GO:0046983,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0048519,host-GO:0016043,host-GO:0019899,host-GO:0043228,host-GO:0051234,host-GO:0097159,host-GO:0007165,host-GO:0022402,host-GO:0098772,host-GO:0044237,host-GO:0043227,host-GO:0030054,host-GO:0051082,host-GO:0000988,host-GO:0044087,host-GO:0005737,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0030529,host-GO:0043229,virus-GO:0044763","host-IPR024057,host-IPR032569,host-IPR004301,virus-IPR006671,virus-IPR015451,virus-IPR015164,virus-IPR017285,virus-IPR013763"
uniprotkb:P29590%uniprotkb:Q2HR82,"host-GO:0044444,host-GO:0033036,host-GO:0009058,host-GO:0044238,host-GO:0043900,host-GO:0044446,host-GO:0002376,host-GO:0044707,host-GO:0044763,host-GO:0051716,host-GO:0044425,host-GO:0009628,host-GO:0040012,host-GO:0042221,host-GO:0042752,host-GO:0032182,host-GO:0051239,host-GO:0051235,host-GO:1901363,host-GO:0009056,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0031090,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0016020,host-GO:0044767,host-GO:0048583,host-GO:0051641,host-GO:0046983,host-GO:0042802,host-GO:0048870,host-GO:0006950,host-GO:0032844,host-GO:0048511,host-GO:0006807,host-GO:0046332,host-GO:0002252,host-GO:0048519,host-GO:0050793,host-GO:0016043,host-GO:0019899,host-GO:0065008,host-GO:0043228,host-GO:0040008,host-GO:0051234,host-GO:0043167,host-GO:0097159,host-GO:0007623,host-GO:0007165,host-GO:0022402,host-GO:0005622,host-GO:0044237,host-GO:0030155,host-GO:0043227,host-GO:0009653,host-GO:0006955,host-GO:0032879,host-GO:0000988,host-GO:1902578,host-GO:0005737,host-GO:0051707,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0044237,virus-GO:0019048,virus-GO:0044238,virus-GO:0071704,virus-GO:0003824,virus-GO:0050794,virus-GO:0019079,virus-GO:0006807,virus-GO:0044419","host-IPR017907,host-IPR013083,host-IPR021978,host-IPR000315,host-IPR001841,virus-IPR010805"
uniprotkb:P19525%uniprotkb:Q2HR71,"host-GO:0044444,host-GO:0009058,host-GO:0044238,host-GO:0043900,host-GO:0002376,host-GO:0097367,host-GO:0051716,host-GO:0030529,host-GO:0042221,host-GO:0044419,host-GO:0007154,host-GO:0051239,host-GO:0050690,host-GO:1901363,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0016020,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0003824,host-GO:0036094,host-GO:0002252,host-GO:0048519,host-GO:0019048,host-GO:0050793,host-GO:0043228,host-GO:0097159,host-GO:0043167,host-GO:0007165,host-GO:0098772,host-GO:0044237,host-GO:0043227,host-GO:0006955,host-GO:0044087,host-GO:0005737,host-GO:0032991,host-GO:0051707,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0009058,virus-GO:0044238,virus-GO:0044419,virus-GO:0050690,virus-GO:1901363,virus-GO:0071704,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0048583,virus-GO:0006807,virus-GO:0048519,virus-GO:0019048,virus-GO:0097159,virus-GO:0044237,virus-GO:0051707,virus-GO:0065009,virus-GO:0019222,virus-GO:0023051","host-IPR011009,host-IPR000719,host-IPR017441,host-IPR014720,host-IPR008271,host-IPR033366,virus-IPR011991,virus-IPR001346"
