xref_partners_sorted,GO,interpro
uniprotkb:P87662%uniprotkb:Q00403,"host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0043900,host-GO:0044446,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0048518,host-GO:0006807,host-GO:0005102,host-GO:0016043,host-GO:0097159,host-GO:0043167,host-GO:0044237,host-GO:0043227,host-GO:0032991,host-GO:0005667,host-GO:0065009,host-GO:0019222,host-GO:0043229,virus-GO:0033647,virus-GO:0048518,virus-GO:0019222,virus-GO:0043167","host-IPR023486,host-IPR013137,host-IPR013763,host-IPR013150,host-IPR000812,virus-IPR017907,virus-IPR013083,virus-IPR001841,virus-IPR018957"
uniprotkb:P17473%uniprotkb:Q00403,"host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0043900,host-GO:0044446,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0048518,host-GO:0006807,host-GO:0005102,host-GO:0016043,host-GO:0097159,host-GO:0043167,host-GO:0044237,host-GO:0043227,host-GO:0032991,host-GO:0005667,host-GO:0065009,host-GO:0019222,host-GO:0043229,virus-GO:0033647,virus-GO:0044237,virus-GO:0019083,virus-GO:0044094,virus-GO:1901363,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0043900,virus-GO:0050794,virus-GO:0048518,virus-GO:0019222,virus-GO:0097159,virus-GO:0006807","host-IPR023486,host-IPR013137,host-IPR013763,host-IPR013150,host-IPR000812,virus-IPR005206,virus-IPR005205"
uniprotkb:P24928%uniprotkb:Q5NTY3,"host-GO:0009058,host-GO:0044238,host-GO:0043900,host-GO:0044446,host-GO:0044707,host-GO:0051716,host-GO:0098727,host-GO:0030880,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0048518,host-GO:0044767,host-GO:0006950,host-GO:0006807,host-GO:0003824,host-GO:0019899,host-GO:0097159,host-GO:0043167,host-GO:0007165,host-GO:0044237,host-GO:0043227,host-GO:0005737,host-GO:0032991,host-GO:0019222,host-GO:0043229,virus-GO:0033647,virus-GO:0008134,virus-GO:0043900,virus-GO:0050794,virus-GO:0019899,virus-GO:0048518,virus-GO:0019222","host-IPR007066,host-IPR007073,host-IPR007075,host-IPR006592,host-IPR007080,host-IPR007083,host-IPR000722,host-IPR007081,host-IPR000684,virus-IPR005206,virus-IPR005205"
uniprotkb:L8B1Q7%uniprotkb:P24928,"host-GO:0009058,host-GO:0044238,host-GO:0043900,host-GO:0044446,host-GO:0044707,host-GO:0051716,host-GO:0098727,host-GO:0030880,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0048518,host-GO:0044767,host-GO:0006950,host-GO:0006807,host-GO:0003824,host-GO:0019899,host-GO:0097159,host-GO:0043167,host-GO:0007165,host-GO:0044237,host-GO:0043227,host-GO:0005737,host-GO:0032991,host-GO:0019222,host-GO:0043229,virus-GO:0036338,virus-GO:0008134,virus-GO:0043900,virus-GO:0019899,virus-GO:0016020,virus-GO:0044425,virus-GO:0048519","host-IPR007066,host-IPR007073,host-IPR007075,host-IPR006592,host-IPR007080,host-IPR007083,host-IPR000722,host-IPR007081,host-IPR000684,virus-IPR002567"
uniprotkb:P17473%uniprotkb:P35268,"host-GO:0044444,host-GO:0033036,host-GO:0044421,host-GO:0009058,host-GO:0044238,host-GO:0045321,host-GO:0044446,host-GO:0097367,host-GO:0044763,host-GO:0019083,host-GO:1901681,host-GO:1901363,host-GO:0009056,host-GO:0071704,host-GO:0044767,host-GO:0051641,host-GO:0006807,host-GO:0048519,host-GO:0051234,host-GO:0043228,host-GO:0097159,host-GO:0043167,host-GO:0005622,host-GO:0044237,host-GO:0043227,host-GO:0030054,host-GO:0005198,host-GO:0043230,host-GO:0005737,host-GO:0032991,host-GO:0019222,host-GO:0030529,host-GO:0043229,virus-GO:0033647,virus-GO:0044237,virus-GO:0019083,virus-GO:0044094,virus-GO:1901363,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0043900,virus-GO:0050794,virus-GO:0048518,virus-GO:0019222,virus-GO:0097159,virus-GO:0006807","host-IPR002671,virus-IPR005206,virus-IPR005205"
uniprotkb:P20226%uniprotkb:P87662,"host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0001098,host-GO:0044702,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0048518,host-GO:0048583,host-GO:0048609,host-GO:0006807,host-GO:0005102,host-GO:0016043,host-GO:0019899,host-GO:0097159,host-GO:0044237,host-GO:0043227,host-GO:0001071,host-GO:0000988,host-GO:0005737,host-GO:0032991,host-GO:0005667,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0048518,virus-GO:0019222,virus-GO:0043167","host-IPR030491,host-IPR033710,host-IPR000814,virus-IPR017907,virus-IPR013083,virus-IPR001841,virus-IPR018957"
uniprotkb:P17473%uniprotkb:P20226-1,"host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0001098,host-GO:0044702,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0048518,host-GO:0048583,host-GO:0048609,host-GO:0006807,host-GO:0005102,host-GO:0016043,host-GO:0019899,host-GO:0097159,host-GO:0044237,host-GO:0043227,host-GO:0001071,host-GO:0000988,host-GO:0005737,host-GO:0032991,host-GO:0005667,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0044237,virus-GO:0019083,virus-GO:0044094,virus-GO:1901363,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0043900,virus-GO:0050794,virus-GO:0048518,virus-GO:0019222,virus-GO:0097159,virus-GO:0006807","virus-IPR005206,virus-IPR005205"
uniprotkb:P20226%uniprotkb:Q5NTY3,"host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0001098,host-GO:0044702,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0048518,host-GO:0048583,host-GO:0048609,host-GO:0006807,host-GO:0005102,host-GO:0016043,host-GO:0019899,host-GO:0097159,host-GO:0044237,host-GO:0043227,host-GO:0001071,host-GO:0000988,host-GO:0005737,host-GO:0032991,host-GO:0005667,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0008134,virus-GO:0043900,virus-GO:0050794,virus-GO:0019899,virus-GO:0048518,virus-GO:0019222","host-IPR030491,host-IPR033710,host-IPR000814,virus-IPR005206,virus-IPR005205"
uniprotkb:P20226%uniprotkb:Q05906,"host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0001098,host-GO:0044702,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0048518,host-GO:0048583,host-GO:0048609,host-GO:0006807,host-GO:0005102,host-GO:0016043,host-GO:0019899,host-GO:0097159,host-GO:0044237,host-GO:0043227,host-GO:0001071,host-GO:0000988,host-GO:0005737,host-GO:0032991,host-GO:0005667,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0044237,virus-GO:1901363,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0030430,virus-GO:0097159,virus-GO:0019222,virus-GO:0043167,virus-GO:0006807","host-IPR030491,host-IPR033710,host-IPR000814,virus-IPR008648"
uniprotkb:L8B1Q7%uniprotkb:P20226,"host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0001098,host-GO:0044702,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0048518,host-GO:0048583,host-GO:0048609,host-GO:0006807,host-GO:0005102,host-GO:0016043,host-GO:0019899,host-GO:0097159,host-GO:0044237,host-GO:0043227,host-GO:0001071,host-GO:0000988,host-GO:0005737,host-GO:0032991,host-GO:0005667,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0036338,virus-GO:0008134,virus-GO:0043900,virus-GO:0019899,virus-GO:0016020,virus-GO:0044425,virus-GO:0048519","host-IPR030491,host-IPR033710,host-IPR000814,virus-IPR002567"
