yourlist:M2017111683C3DD8CE55183C76102DC5D3A26728BF7779D5	isomap:M2017111683C3DD8CE55183C76102DC5D3A26728BF7779D5	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
M11841		P04022	GAG_SRV1	reviewed	Gag polyprotein (Core polyprotein) [Cleaved into: Matrix protein p10; Core phosphoprotein pp18; p12; Capsid protein p27; Nucleocapsid protein p14; p4]	gag	Simian retrovirus SRV-1	658
M11841		P04024	VPRT_SRV1	reviewed	Protease (EC 3.4.23.-)	pro prt	Simian retrovirus SRV-1	314
M11841		P04025	POL_SRV1	reviewed	Pol polyprotein [Cleaved into: Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]	pol	Simian retrovirus SRV-1	867
M11841		P04027	ENV_SRV1	reviewed	Envelope glycoprotein (Env polyprotein) [Cleaved into: Surface protein (SU) (Glycoprotein 70) (gp70); Transmembrane protein (TM) (Glycoprotein 20) (gp20); R-peptide]	env	Simian retrovirus SRV-1	587
M11841		Q9YPG3	Q9YPG3_SRV1	unreviewed	Uncharacterized protein sorf (Fragment)	sorf	Simian retrovirus SRV-1	105
K02718		P03101	VL1_HPV16	reviewed	Major capsid protein L1	L1	Human papillomavirus type 16	505
K02718		P03107	VL2_HPV16	reviewed	Minor capsid protein L2	L2	Human papillomavirus type 16	473
K02718		P03114	VE1_HPV16	reviewed	Replication protein E1 (EC 3.6.4.12) (ATP-dependent helicase E1)	E1	Human papillomavirus type 16	649
K02718		P03120	VE2_HPV16	reviewed	Regulatory protein E2	E2	Human papillomavirus type 16	365
K02718		P03126	VE6_HPV16	reviewed	Protein E6	E6	Human papillomavirus type 16	158
K02718		P03129	VE7_HPV16	reviewed	Protein E7	E7	Human papillomavirus type 16	98
K02718		P06922	VE4_HPV16	reviewed	Protein E4 (E1^E4)	E4	Human papillomavirus type 16	92
K02718		P06927	VE5_HPV16	reviewed	Probable protein E5	E5	Human papillomavirus type 16	83
K02718		P0DKA0	VE8E2_HPV16	reviewed	Protein E8^E2C		Human papillomavirus type 16	177
AB047639		Q99IB8	POLG_HCVJF	reviewed	Genome polyprotein [Cleaved into: Core protein p21 (Capsid protein C) (p21); Core protein p19; Envelope glycoprotein E1 (gp32) (gp35); Envelope glycoprotein E2 (NS1) (gp68) (gp70); p7; Protease NS2-3 (p23) (EC 3.4.22.-); Serine protease NS3 (EC 3.4.21.98) (EC 3.6.1.15) (EC 3.6.4.13) (Hepacivirin) (NS3P) (p70); Non-structural protein 4A (NS4A) (p8); Non-structural protein 4B (NS4B) (p27); Non-structural protein 5A (NS5A) (p56); RNA-directed RNA polymerase (EC 2.7.7.48) (NS5B) (p68)]		Hepatitis C virus genotype 2a (isolate JFH-1) (HCV)	3033
