xref_partners_sorted,GO,interpro
uniprotkb:Q06A28%uniprotkb:Q9Y6K9,"host-GO:0044710,host-GO:0044444,host-GO:0004871,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044763,host-GO:0051716,host-GO:0032182,host-GO:0019904,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0042802,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0019882,host-GO:0051641,host-GO:0048583,host-GO:0046983,host-GO:0000151,host-GO:0006950,host-GO:0006807,host-GO:0005102,host-GO:0048519,host-GO:0019899,host-GO:0051234,host-GO:0043228,host-GO:0043167,host-GO:0007165,host-GO:0005622,host-GO:0044237,host-GO:0043227,host-GO:0006955,host-GO:0002253,host-GO:0140030,host-GO:0005737,host-GO:0032991,host-GO:0051707,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0044237,virus-GO:0044710,virus-GO:0019048,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0065009,virus-GO:0030430,virus-GO:0019222,virus-GO:0006807,virus-GO:0044419,virus-GO:0048519","host-IPR034735,host-IPR021063,host-IPR032419,virus-IPR025735,virus-IPR034716,virus-IPR000788"
uniprotkb:O88522%uniprotkb:Q06A28,"host-GO:0044444,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044763,host-GO:0051716,host-GO:0032182,host-GO:0019904,host-GO:0071704,host-GO:0042802,host-GO:0050794,host-GO:0048518,host-GO:0051641,host-GO:0048583,host-GO:0046983,host-GO:0000151,host-GO:0006950,host-GO:0006807,host-GO:0048519,host-GO:0019899,host-GO:0065008,host-GO:0051234,host-GO:0043228,host-GO:0043167,host-GO:0001776,host-GO:0005622,host-GO:0044237,host-GO:0043227,host-GO:0140030,host-GO:0005737,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0044237,virus-GO:0044710,virus-GO:0019048,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0065009,virus-GO:0030430,virus-GO:0019222,virus-GO:0006807,virus-GO:0044419,virus-GO:0048519","host-IPR034735,host-IPR021063,host-IPR032419,virus-IPR025735,virus-IPR034716,virus-IPR000788"
uniprotkb:Q06A28%uniprotkb:Q60855,"host-GO:0044710,host-GO:0044444,host-GO:0004871,host-GO:0044238,host-GO:0097367,host-GO:0044763,host-GO:0051716,host-GO:0044425,host-GO:0042221,host-GO:0051239,host-GO:0019904,host-GO:1901363,host-GO:0009056,host-GO:0071704,host-GO:0002682,host-GO:0042802,host-GO:0050794,host-GO:0048518,host-GO:0016020,host-GO:0044877,host-GO:0048583,host-GO:0006807,host-GO:0036094,host-GO:0005102,host-GO:0003824,host-GO:0048519,host-GO:0032403,host-GO:0050793,host-GO:0016043,host-GO:0019899,host-GO:0097159,host-GO:0043167,host-GO:0007165,host-GO:0044237,host-GO:0043227,host-GO:0032879,host-GO:0005737,host-GO:0044459,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0005886,host-GO:0023051,host-GO:0043229,virus-GO:0044237,virus-GO:0044710,virus-GO:0019048,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0065009,virus-GO:0030430,virus-GO:0019222,virus-GO:0006807,virus-GO:0044419,virus-GO:0048519","host-IPR011009,host-IPR000719,host-IPR000488,host-IPR025735,host-IPR011029,host-IPR001245,host-IPR008271,virus-IPR025735,virus-IPR034716,virus-IPR000788"
uniprotkb:A8E1C4%uniprotkb:P68371,"host-GO:0044444,host-GO:0044421,host-GO:0045321,host-GO:0043233,host-GO:0044446,host-GO:0097367,host-GO:0044763,host-GO:0007017,host-GO:1901363,host-GO:0005576,host-GO:0051641,host-GO:0042267,host-GO:0099080,host-GO:0006950,host-GO:0043209,host-GO:0036094,host-GO:0005102,host-GO:0002252,host-GO:0003824,host-GO:0001909,host-GO:0016043,host-GO:0043228,host-GO:0051234,host-GO:0097159,host-GO:0043167,host-GO:0070013,host-GO:0022402,host-GO:0031974,host-GO:0043230,host-GO:0043227,host-GO:0005198,host-GO:0006955,host-GO:0051082,host-GO:1902578,host-GO:0005737,host-GO:0043229,virus-GO:0033647,virus-GO:0019048,virus-GO:0019033,virus-GO:0003824,virus-GO:0044238,virus-GO:0071704,virus-GO:0030430,virus-GO:0006807,virus-GO:0044419","host-IPR000217,host-IPR002453,host-IPR018316,host-IPR003008,host-IPR017975,host-IPR008280,host-IPR013838,virus-IPR006928,virus-IPR034702"
uniprotkb:A8E1C4%uniprotkb:Q92598,"host-GO:0044444,host-GO:0044421,host-GO:0043233,host-GO:0044446,host-GO:0097367,host-GO:0042221,host-GO:1901363,host-GO:0005576,host-GO:0002682,host-GO:0050794,host-GO:0048518,host-GO:0048583,host-GO:0099080,host-GO:0006950,host-GO:0036094,host-GO:0048519,host-GO:0051234,host-GO:0006457,host-GO:0097159,host-GO:0043167,host-GO:0070013,host-GO:0098772,host-GO:0031974,host-GO:0043230,host-GO:0043227,host-GO:0030155,host-GO:0008092,host-GO:0032879,host-GO:0005737,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0019048,virus-GO:0019033,virus-GO:0003824,virus-GO:0044238,virus-GO:0071704,virus-GO:0030430,virus-GO:0006807,virus-GO:0044419","host-IPR029047,host-IPR018181,host-IPR029048,host-IPR013126,virus-IPR006928,virus-IPR034702"
uniprotkb:A8E1C4%uniprotkb:Q5VTE0,"host-GO:0044237,host-GO:0043227,host-GO:0043230,host-GO:0044421,host-GO:1901363,host-GO:0003674,host-GO:0009058,host-GO:0003824,host-GO:0071704,host-GO:0044238,host-GO:0005737,host-GO:0097367,host-GO:0043167,host-GO:0097159,host-GO:0008150,host-GO:0006807,host-GO:0036094,host-GO:0043229,virus-GO:0033647,virus-GO:0019048,virus-GO:0019033,virus-GO:0003824,virus-GO:0044238,virus-GO:0071704,virus-GO:0030430,virus-GO:0006807,virus-GO:0044419","host-IPR031157,host-IPR004160,host-IPR009001,host-IPR000795,host-IPR004539,host-IPR004161,host-IPR027417,host-IPR009000,virus-IPR006928,virus-IPR034702"
uniprotkb:A8E1C4%uniprotkb:P68104,"host-GO:0044444,host-GO:0044421,host-GO:0009058,host-GO:0044238,host-GO:0045321,host-GO:0043233,host-GO:0044446,host-GO:0097367,host-GO:0044763,host-GO:0051716,host-GO:0044425,host-GO:0042221,host-GO:1901363,host-GO:0005576,host-GO:0071704,host-GO:0050794,host-GO:0016020,host-GO:0006807,host-GO:0036094,host-GO:0003824,host-GO:0044463,host-GO:0009719,host-GO:0002252,host-GO:0019899,host-GO:0043228,host-GO:0051234,host-GO:0097159,host-GO:0043167,host-GO:0070013,host-GO:0031974,host-GO:0044237,host-GO:0043227,host-GO:0043230,host-GO:0032259,host-GO:1902578,host-GO:0005737,host-GO:0044459,host-GO:0032991,host-GO:0019222,host-GO:0005886,host-GO:0043229,virus-GO:0033647,virus-GO:0019048,virus-GO:0019033,virus-GO:0003824,virus-GO:0044238,virus-GO:0071704,virus-GO:0030430,virus-GO:0006807,virus-GO:0044419","host-IPR031157,host-IPR004160,host-IPR009001,host-IPR000795,host-IPR004539,host-IPR004161,host-IPR027417,host-IPR009000,virus-IPR006928,virus-IPR034702"
uniprotkb:A8E1C4%uniprotkb:Q05639,"host-GO:0044444,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0097367,host-GO:0044297,host-GO:0044425,host-GO:0009628,host-GO:0042221,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0048518,host-GO:0043209,host-GO:0006807,host-GO:0003824,host-GO:0036094,host-GO:0019899,host-GO:0043167,host-GO:0097159,host-GO:0044237,host-GO:0097458,host-GO:0005737,host-GO:0032991,host-GO:0065009,host-GO:0019222,virus-GO:0033647,virus-GO:0019048,virus-GO:0019033,virus-GO:0003824,virus-GO:0044238,virus-GO:0071704,virus-GO:0030430,virus-GO:0006807,virus-GO:0044419","host-IPR031157,host-IPR004160,host-IPR009001,host-IPR000795,host-IPR004539,host-IPR004161,host-IPR027417,host-IPR009000,virus-IPR006928,virus-IPR034702"
uniprotkb:A8E1C4%uniprotkb:P07437,"host-GO:0044444,host-GO:0044421,host-GO:0009987,host-GO:0045321,host-GO:0043233,host-GO:0044446,host-GO:0097367,host-GO:0044297,host-GO:0044763,host-GO:0007017,host-GO:0044425,host-GO:0019904,host-GO:1901363,host-GO:0005576,host-GO:0016020,host-GO:0044877,host-GO:0051641,host-GO:0042267,host-GO:0099080,host-GO:0006950,host-GO:0036094,host-GO:0005102,host-GO:0002252,host-GO:0003824,host-GO:0001909,host-GO:0032403,host-GO:0016043,host-GO:0019899,host-GO:0043228,host-GO:0051234,host-GO:0097159,host-GO:0043167,host-GO:0070013,host-GO:0022402,host-GO:0031974,host-GO:0043230,host-GO:0043227,host-GO:0005198,host-GO:0006955,host-GO:1902578,host-GO:0005737,host-GO:0032991,host-GO:0030529,host-GO:0032794,host-GO:0043229,virus-GO:0033647,virus-GO:0019048,virus-GO:0019033,virus-GO:0003824,virus-GO:0044238,virus-GO:0071704,virus-GO:0030430,virus-GO:0006807,virus-GO:0044419","host-IPR000217,host-IPR002453,host-IPR018316,host-IPR003008,host-IPR017975,host-IPR008280,host-IPR013838,virus-IPR006928,virus-IPR034702"
uniprotkb:H2A1D8%uniprotkb:P07437,"host-GO:0044444,host-GO:0044421,host-GO:0009987,host-GO:0045321,host-GO:0043233,host-GO:0044446,host-GO:0097367,host-GO:0044297,host-GO:0044763,host-GO:0007017,host-GO:0044425,host-GO:0019904,host-GO:1901363,host-GO:0005576,host-GO:0016020,host-GO:0044877,host-GO:0051641,host-GO:0042267,host-GO:0099080,host-GO:0006950,host-GO:0036094,host-GO:0005102,host-GO:0002252,host-GO:0003824,host-GO:0001909,host-GO:0032403,host-GO:0016043,host-GO:0019899,host-GO:0043228,host-GO:0051234,host-GO:0097159,host-GO:0043167,host-GO:0070013,host-GO:0022402,host-GO:0031974,host-GO:0043230,host-GO:0043227,host-GO:0005198,host-GO:0006955,host-GO:1902578,host-GO:0005737,host-GO:0032991,host-GO:0030529,host-GO:0032794,host-GO:0043229,virus-GO:0044419","host-IPR000217,host-IPR002453,host-IPR018316,host-IPR003008,host-IPR017975,host-IPR008280,host-IPR013838,virus-IPR008649"
