xref_partners_sorted,GO,interpro
uniprotkb:P10238%uniprotkb:Q9UBU9,"host-GO:0043227,host-GO:0044444,host-GO:0005215,host-GO:1901363,host-GO:0044446,host-GO:0005737,host-GO:0032991,host-GO:0051234,host-GO:0051641,host-GO:0097159,host-GO:0016234,host-GO:0005622,host-GO:0043229,virus-GO:0033647,virus-GO:0044237,virus-GO:0019048,virus-GO:1901363,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0030430,virus-GO:0097159,virus-GO:0019222,virus-GO:0043167,virus-GO:0006807,virus-GO:0044419,virus-GO:0048519","host-IPR001611,host-IPR030217,host-IPR032675,host-IPR015245,host-IPR002075,host-IPR000504,host-IPR009060,host-IPR032710,host-IPR018222,host-IPR005637,virus-IPR008648,virus-IPR031752"
uniprotkb:P10226%uniprotkb:P19838,"host-GO:0044710,host-GO:0044444,host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0045321,host-GO:0043233,host-GO:0044446,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0042221,host-GO:0003682,host-GO:0051239,host-GO:1901363,host-GO:0005576,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0042802,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0048583,host-GO:0046983,host-GO:0006950,host-GO:0006807,host-GO:0009719,host-GO:0002252,host-GO:0048519,host-GO:0050793,host-GO:0065008,host-GO:0051234,host-GO:0097159,host-GO:0007165,host-GO:0070013,host-GO:0031974,host-GO:0008092,host-GO:0043227,host-GO:0044237,host-GO:0006955,host-GO:0001071,host-GO:0032879,host-GO:0002253,host-GO:0033256,host-GO:1902578,host-GO:0005737,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0044237,virus-GO:0033647,virus-GO:0009058,virus-GO:1901363,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0048518,virus-GO:0065009,virus-GO:0019079,virus-GO:0019222,virus-GO:0097159,virus-GO:0006807","host-IPR014756,host-IPR011539,host-IPR002110,host-IPR000488,host-IPR002909,host-IPR013783,host-IPR020683,host-IPR030503,host-IPR032397,host-IPR011029,host-IPR000451,host-IPR033926,host-IPR008967,host-IPR030492,virus-IPR003202"
uniprotkb:P04487%uniprotkb:P19525,"host-GO:0044444,host-GO:0009058,host-GO:0044238,host-GO:0043900,host-GO:0002376,host-GO:0097367,host-GO:0051716,host-GO:0030529,host-GO:0042221,host-GO:0044419,host-GO:0007154,host-GO:0051239,host-GO:0050690,host-GO:1901363,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0016020,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0003824,host-GO:0036094,host-GO:0002252,host-GO:0048519,host-GO:0019048,host-GO:0050793,host-GO:0043228,host-GO:0097159,host-GO:0043167,host-GO:0007165,host-GO:0098772,host-GO:0044237,host-GO:0043227,host-GO:0006955,host-GO:0044087,host-GO:0005737,host-GO:0032991,host-GO:0051707,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0050690,virus-GO:0033647,virus-GO:0019048,virus-GO:0044094,virus-GO:1901363,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0051707,virus-GO:0048583,virus-GO:0065009,virus-GO:0019222,virus-GO:0097159,virus-GO:0030430,virus-GO:0023051,virus-GO:0044419,virus-GO:0048519","host-IPR011009,host-IPR000719,host-IPR017441,host-IPR014720,host-IPR008271,host-IPR033366,virus-IPR020124"
uniprotkb:P04487%uniprotkb:Q7Z434,"host-GO:0044444,host-GO:0004871,host-GO:0044238,host-GO:0043900,host-GO:0044446,host-GO:0002376,host-GO:0051716,host-GO:0044425,host-GO:0042221,host-GO:0044764,host-GO:0051239,host-GO:0019904,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0031090,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0016020,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0002252,host-GO:0048519,host-GO:0019899,host-GO:0007165,host-GO:0044237,host-GO:0043227,host-GO:0006955,host-GO:0032879,host-GO:0002253,host-GO:0031968,host-GO:0051707,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0050690,virus-GO:0033647,virus-GO:0019048,virus-GO:0044094,virus-GO:1901363,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0051707,virus-GO:0048583,virus-GO:0065009,virus-GO:0019222,virus-GO:0097159,virus-GO:0030430,virus-GO:0023051,virus-GO:0044419,virus-GO:0048519","host-IPR031964,host-IPR026148,virus-IPR020124"
uniprotkb:P10209%uniprotkb:P62826,"host-GO:0044444,host-GO:0033036,host-GO:0044421,host-GO:0044238,host-GO:0044446,host-GO:0097367,host-GO:0044763,host-GO:0007017,host-GO:0003682,host-GO:0030496,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0016020,host-GO:0048518,host-GO:0051641,host-GO:0046983,host-GO:0006807,host-GO:0036094,host-GO:0005102,host-GO:0003824,host-GO:0046794,host-GO:0005215,host-GO:0016043,host-GO:0050839,host-GO:0043228,host-GO:0051234,host-GO:0097159,host-GO:0043167,host-GO:0007165,host-GO:0022402,host-GO:0044237,host-GO:0043227,host-GO:0043230,host-GO:0000988,host-GO:1902578,host-GO:0031074,host-GO:0031975,host-GO:0005737,host-GO:0032991,host-GO:0065009,host-GO:1902579,host-GO:0019222,host-GO:0043229,virus-GO:0033647,virus-GO:0046794,virus-GO:0032879,virus-GO:0048518,virus-GO:0051234,virus-GO:0051641,virus-GO:0019072,virus-GO:0019076,virus-GO:0052192,virus-GO:1902579,virus-GO:0019028,virus-GO:0044419","host-IPR027417,host-IPR005225,host-IPR001806,host-IPR002041,virus-IPR002493"
uniprotkb:P10226%uniprotkb:Q04206,"host-GO:0044710,host-GO:0044444,host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0042221,host-GO:0043229,host-GO:0003682,host-GO:0051239,host-GO:0019904,host-GO:1901363,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0042802,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0044877,host-GO:0044767,host-GO:0048583,host-GO:0046983,host-GO:0006950,host-GO:0006807,host-GO:0009719,host-GO:0002252,host-GO:0048519,host-GO:0071159,host-GO:0032403,host-GO:0050793,host-GO:0019899,host-GO:0097159,host-GO:0043167,host-GO:0007165,host-GO:0008092,host-GO:0043227,host-GO:0044237,host-GO:0047485,host-GO:0001071,host-GO:0009653,host-GO:0033256,host-GO:0048856,host-GO:0005737,host-GO:0032991,host-GO:0051707,host-GO:0065009,host-GO:0005667,host-GO:0019222,host-GO:0023051,host-GO:0002253,virus-GO:0044237,virus-GO:0033647,virus-GO:0009058,virus-GO:1901363,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0048518,virus-GO:0065009,virus-GO:0019079,virus-GO:0019222,virus-GO:0097159,virus-GO:0006807","host-IPR014756,host-IPR011539,host-IPR002909,host-IPR032397,host-IPR008967,host-IPR030495,host-IPR000451,host-IPR033926,host-IPR013783,host-IPR030492,virus-IPR003202"
uniprotkb:P10209%uniprotkb:Q9Y287,"host-GO:0044444,host-GO:0044421,host-GO:0044238,host-GO:0044446,host-GO:0097367,host-GO:0044425,host-GO:1901363,host-GO:0005576,host-GO:0071704,host-GO:0031090,host-GO:0050794,host-GO:0016020,host-GO:0006807,host-GO:0036094,host-GO:0048519,host-GO:0031300,host-GO:0033218,host-GO:0097159,host-GO:0043167,host-GO:0044237,host-GO:0043227,host-GO:0043230,host-GO:0048856,host-GO:0019222,host-GO:0005886,host-GO:0043229,virus-GO:0033647,virus-GO:0046794,virus-GO:0032879,virus-GO:0048518,virus-GO:0051234,virus-GO:0051641,virus-GO:0019072,virus-GO:0019076,virus-GO:0052192,virus-GO:1902579,virus-GO:0019028,virus-GO:0044419","host-IPR007084,virus-IPR002493"
uniprotkb:D3YP88%uniprotkb:H0YL14,"host-GO:0043227,host-GO:0043900,host-GO:0044446,host-GO:0005737,host-GO:0016020,host-GO:0048518,host-GO:0044763,host-GO:0050794,host-GO:0044425,host-GO:0043229,virus-GO:0033647,virus-GO:0046794,virus-GO:0051234,virus-GO:0051641,virus-GO:0019072,virus-GO:0019076,virus-GO:0052192,virus-GO:1902579,virus-GO:0019028,virus-GO:0044419",virus-IPR002493
uniprotkb:H0YL14%uniprotkb:P10209,"host-GO:0043227,host-GO:0043900,host-GO:0044446,host-GO:0005737,host-GO:0016020,host-GO:0048518,host-GO:0044763,host-GO:0050794,host-GO:0044425,host-GO:0043229,virus-GO:0033647,virus-GO:0046794,virus-GO:0032879,virus-GO:0048518,virus-GO:0051234,virus-GO:0051641,virus-GO:0019072,virus-GO:0019076,virus-GO:0052192,virus-GO:1902579,virus-GO:0019028,virus-GO:0044419",virus-IPR002493
uniprotkb:O95786%uniprotkb:P04487,"host-GO:0044444,host-GO:0044238,host-GO:0043900,host-GO:0002376,host-GO:0097367,host-GO:0051716,host-GO:0044425,host-GO:0040012,host-GO:0042221,host-GO:0044764,host-GO:0051239,host-GO:1901363,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0042802,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0016020,host-GO:0048583,host-GO:0042995,host-GO:0006950,host-GO:0006807,host-GO:0003824,host-GO:0036094,host-GO:0002252,host-GO:0044463,host-GO:0048519,host-GO:0019899,host-GO:0043228,host-GO:0097159,host-GO:0043167,host-GO:0007165,host-GO:0044237,host-GO:0030054,host-GO:0006955,host-GO:0032879,host-GO:0002253,host-GO:0005737,host-GO:0044459,host-GO:0051707,host-GO:0065009,host-GO:0019222,host-GO:0005886,host-GO:0043229,virus-GO:0050690,virus-GO:0033647,virus-GO:0019048,virus-GO:0044094,virus-GO:1901363,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0051707,virus-GO:0048583,virus-GO:0065009,virus-GO:0019222,virus-GO:0097159,virus-GO:0030430,virus-GO:0023051,virus-GO:0044419,virus-GO:0048519","host-IPR011545,host-IPR001650,host-IPR031964,host-IPR027417,host-IPR014001,host-IPR021673,virus-IPR020124"
