xref_partners_sorted,GO,interpro
uniprotkb:P05412%uniprotkb:Q9DGW5,"host-GO:0044444,host-GO:0033036,host-GO:0008134,host-GO:0009987,host-GO:0009058,host-GO:0045321,host-GO:0044238,host-GO:0043900,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0040012,host-GO:0042221,host-GO:0044419,host-GO:0007154,host-GO:0003682,host-GO:0051239,host-GO:0019904,host-GO:1901363,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0042802,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0044767,host-GO:0051641,host-GO:0048583,host-GO:0046983,host-GO:0006950,host-GO:0006807,host-GO:0046332,host-GO:0009719,host-GO:0048519,host-GO:0003008,host-GO:0050793,host-GO:0016043,host-GO:0019899,host-GO:0065008,host-GO:0051234,host-GO:0043228,host-GO:0097159,host-GO:0007623,host-GO:0048646,host-GO:0007165,host-GO:0098772,host-GO:0044237,host-GO:0043227,host-GO:0044708,host-GO:0009653,host-GO:0001071,host-GO:0032879,host-GO:0000988,host-GO:1902578,host-GO:0048856,host-GO:0044087,host-GO:0032991,host-GO:0005667,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0044094,virus-GO:0008134,virus-GO:0009058,virus-GO:0044238,virus-GO:0043900,virus-GO:0044419,virus-GO:1901363,virus-GO:0071704,virus-GO:0042802,virus-GO:0050794,virus-GO:0048518,virus-GO:0046983,virus-GO:0006807,virus-GO:0048519,virus-GO:0019048,virus-GO:0065008,virus-GO:0097159,virus-GO:0044237,virus-GO:0001071,virus-GO:0044087,virus-GO:0031072,virus-GO:0019222","host-IPR015558,host-IPR004827,host-IPR002112,host-IPR008917,host-IPR005643,virus-IPR000837,virus-IPR004827"
uniprotkb:O14867%uniprotkb:Q9DGW5,"host-GO:0044444,host-GO:0009058,host-GO:0044238,host-GO:0051716,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0048518,host-GO:0000151,host-GO:0006950,host-GO:0006807,host-GO:0003824,host-GO:0048519,host-GO:0097159,host-GO:0022402,host-GO:0044237,host-GO:0043227,host-GO:0001071,host-GO:0005737,host-GO:0032991,host-GO:0019222,host-GO:0043229,virus-GO:0033647,virus-GO:0044094,virus-GO:0008134,virus-GO:0009058,virus-GO:0044238,virus-GO:0043900,virus-GO:0044419,virus-GO:1901363,virus-GO:0071704,virus-GO:0042802,virus-GO:0050794,virus-GO:0048518,virus-GO:0046983,virus-GO:0006807,virus-GO:0048519,virus-GO:0019048,virus-GO:0065008,virus-GO:0097159,virus-GO:0044237,virus-GO:0001071,virus-GO:0044087,virus-GO:0031072,virus-GO:0019222","host-IPR000210,host-IPR004826,host-IPR004827,host-IPR008917,host-IPR011333,virus-IPR000837,virus-IPR004827"
uniprotkb:P08106%uniprotkb:Q9DGW5,"host-GO:0043227,host-GO:0044444,host-GO:1901363,host-GO:0097458,host-GO:0005737,host-GO:0097367,host-GO:0005102,host-GO:0032991,host-GO:0097159,host-GO:0043167,host-GO:0006950,host-GO:0009628,host-GO:0009719,host-GO:0042221,host-GO:0036094,host-GO:0043229,virus-GO:0033647,virus-GO:0044094,virus-GO:0008134,virus-GO:0009058,virus-GO:0044238,virus-GO:0043900,virus-GO:0044419,virus-GO:1901363,virus-GO:0071704,virus-GO:0042802,virus-GO:0050794,virus-GO:0048518,virus-GO:0046983,virus-GO:0006807,virus-GO:0048519,virus-GO:0019048,virus-GO:0065008,virus-GO:0097159,virus-GO:0044237,virus-GO:0001071,virus-GO:0044087,virus-GO:0031072,virus-GO:0019222","host-IPR029047,host-IPR018181,host-IPR029048,host-IPR013126,virus-IPR000837,virus-IPR004827"
uniprotkb:P08998%uniprotkb:Q69283,"host-GO:0044444,host-GO:0044421,host-GO:0043900,host-GO:0044446,host-GO:0044763,host-GO:0051716,host-GO:0042221,host-GO:0051239,host-GO:0005576,host-GO:0002682,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0016020,host-GO:0048583,host-GO:0003824,host-GO:0009719,host-GO:0005102,host-GO:0048519,host-GO:0003006,host-GO:0050793,host-GO:0040008,host-GO:0043167,host-GO:0043227,host-GO:0048856,host-GO:0019222,host-GO:0005886,host-GO:0043229,","host-IPR034975,host-IPR001400,host-IPR009079,host-IPR018116,virus-IPR003360"
uniprotkb:P09450%uniprotkb:Q9DGW5,"host-GO:0008134,host-GO:0009987,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0042221,host-GO:0044702,host-GO:1901363,host-GO:0071704,host-GO:0009607,host-GO:0009605,host-GO:0044767,host-GO:0050794,host-GO:0048518,host-GO:0048609,host-GO:0006807,host-GO:0009719,host-GO:0003006,host-GO:0048519,host-GO:0050793,host-GO:0097159,host-GO:0008283,host-GO:0044237,host-GO:0043227,host-GO:0001071,host-GO:0000988,host-GO:0048856,host-GO:0032991,host-GO:0005667,host-GO:0019222,host-GO:0043229,virus-GO:0033647,virus-GO:0044094,virus-GO:0008134,virus-GO:0009058,virus-GO:0044238,virus-GO:0043900,virus-GO:0044419,virus-GO:1901363,virus-GO:0071704,virus-GO:0042802,virus-GO:0050794,virus-GO:0048518,virus-GO:0046983,virus-GO:0006807,virus-GO:0048519,virus-GO:0019048,virus-GO:0065008,virus-GO:0097159,virus-GO:0044237,virus-GO:0001071,virus-GO:0044087,virus-GO:0031072,virus-GO:0019222","host-IPR029822,host-IPR004827,host-IPR002112,host-IPR008917,host-IPR005643,virus-IPR000837,virus-IPR004827"
uniprotkb:P10360%uniprotkb:Q77Q71,"host-GO:0044444,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0043229,host-GO:0003682,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0048518,host-GO:0006950,host-GO:0006807,host-GO:0048519,host-GO:0002039,host-GO:0016043,host-GO:0097159,host-GO:0043167,host-GO:0007165,host-GO:0022402,host-GO:0044237,host-GO:0043227,host-GO:0001071,host-GO:0005737,host-GO:0032991,host-GO:0005667,host-GO:0019222,host-GO:0000075,virus-GO:0033647,virus-GO:1901363,virus-GO:0001071,virus-GO:0002039,virus-GO:0043900,virus-GO:0042802,virus-GO:0050794,virus-GO:0048518,virus-GO:0040008,virus-GO:0046983,virus-GO:0019222,virus-GO:0097159,virus-GO:0044419,virus-GO:0048519","host-IPR011615,host-IPR008967,host-IPR010991,host-IPR012346,host-IPR002117,virus-IPR000837,virus-IPR029818,virus-IPR004827"
uniprotkb:P15336%uniprotkb:Q9DGW5,"host-GO:0044444,host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0042221,host-GO:0043229,host-GO:0051239,host-GO:0003682,host-GO:1901363,host-GO:0071704,host-GO:0031090,host-GO:0050794,host-GO:0016020,host-GO:0048518,host-GO:0044767,host-GO:0046983,host-GO:0006950,host-GO:0006807,host-GO:0003824,host-GO:0048519,host-GO:0016043,host-GO:0019899,host-GO:0065008,host-GO:0097159,host-GO:0043167,host-GO:0048646,host-GO:0022402,host-GO:0044237,host-GO:0043227,host-GO:0009653,host-GO:0001071,host-GO:0000988,host-GO:0031968,host-GO:0048856,host-GO:0005737,host-GO:0065009,host-GO:0019222,host-GO:0000075,virus-GO:0033647,virus-GO:0044094,virus-GO:0008134,virus-GO:0009058,virus-GO:0044238,virus-GO:0043900,virus-GO:0044419,virus-GO:1901363,virus-GO:0071704,virus-GO:0042802,virus-GO:0050794,virus-GO:0048518,virus-GO:0046983,virus-GO:0006807,virus-GO:0048519,virus-GO:0019048,virus-GO:0065008,virus-GO:0097159,virus-GO:0044237,virus-GO:0001071,virus-GO:0044087,virus-GO:0031072,virus-GO:0019222","host-IPR016378,host-IPR029836,host-IPR013087,host-IPR004827,virus-IPR000837,virus-IPR004827"
uniprotkb:P16220%uniprotkb:Q9DGW5,"host-GO:0044444,host-GO:0008134,host-GO:0009058,host-GO:0014823,host-GO:0044238,host-GO:0043233,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0042221,host-GO:0042752,host-GO:0051239,host-GO:1901363,host-GO:0071704,host-GO:0002682,host-GO:0042802,host-GO:0050794,host-GO:0048518,host-GO:0044767,host-GO:0042995,host-GO:0006950,host-GO:0048511,host-GO:0006807,host-GO:0009719,host-GO:0048519,host-GO:0003008,host-GO:1990763,host-GO:0050793,host-GO:0016043,host-GO:0019899,host-GO:0065008,host-GO:0051234,host-GO:0040008,host-GO:0097159,host-GO:0007623,host-GO:0070013,host-GO:0007165,host-GO:0031974,host-GO:0044237,host-GO:0043227,host-GO:0042330,host-GO:0044708,host-GO:0009653,host-GO:0001071,host-GO:0097458,host-GO:0000988,host-GO:1902578,host-GO:0032879,host-GO:0048856,host-GO:0044087,host-GO:0031072,host-GO:0032991,host-GO:0005667,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0044094,virus-GO:0008134,virus-GO:0009058,virus-GO:0044238,virus-GO:0043900,virus-GO:0044419,virus-GO:1901363,virus-GO:0071704,virus-GO:0042802,virus-GO:0050794,virus-GO:0048518,virus-GO:0046983,virus-GO:0006807,virus-GO:0048519,virus-GO:0019048,virus-GO:0065008,virus-GO:0097159,virus-GO:0044237,virus-GO:0001071,virus-GO:0044087,virus-GO:0031072,virus-GO:0019222","host-IPR003102,host-IPR004827,host-IPR001630,virus-IPR000837,virus-IPR004827"
uniprotkb:P17275%uniprotkb:Q9DGW5,"host-GO:0008134,host-GO:0009987,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0042221,host-GO:0044702,host-GO:1901363,host-GO:0071704,host-GO:0009607,host-GO:0009605,host-GO:0044767,host-GO:0050794,host-GO:0048518,host-GO:0048609,host-GO:0006807,host-GO:0009719,host-GO:0003006,host-GO:0048519,host-GO:0050793,host-GO:0097159,host-GO:0008283,host-GO:0044237,host-GO:0043227,host-GO:0001071,host-GO:0000988,host-GO:0048856,host-GO:0032991,host-GO:0005667,host-GO:0019222,host-GO:0043229,virus-GO:0033647,virus-GO:0044094,virus-GO:0008134,virus-GO:0009058,virus-GO:0044238,virus-GO:0043900,virus-GO:0044419,virus-GO:1901363,virus-GO:0071704,virus-GO:0042802,virus-GO:0050794,virus-GO:0048518,virus-GO:0046983,virus-GO:0006807,virus-GO:0048519,virus-GO:0019048,virus-GO:0065008,virus-GO:0097159,virus-GO:0044237,virus-GO:0001071,virus-GO:0044087,virus-GO:0031072,virus-GO:0019222","host-IPR029822,host-IPR004827,host-IPR002112,host-IPR008917,host-IPR005643,virus-IPR000837,virus-IPR004827"
uniprotkb:P17535%uniprotkb:Q9DGW5,"host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0042221,host-GO:0051239,host-GO:1901363,host-GO:0071704,host-GO:0009607,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0044767,host-GO:0006807,host-GO:0009719,host-GO:0005102,host-GO:0048519,host-GO:0050793,host-GO:0019899,host-GO:0097159,host-GO:0007623,host-GO:0044237,host-GO:0043227,host-GO:0001071,host-GO:0000988,host-GO:0048856,host-GO:0032991,host-GO:0005667,host-GO:0019222,host-GO:0043229,virus-GO:0033647,virus-GO:0044094,virus-GO:0008134,virus-GO:0009058,virus-GO:0044238,virus-GO:0043900,virus-GO:0044419,virus-GO:1901363,virus-GO:0071704,virus-GO:0042802,virus-GO:0050794,virus-GO:0048518,virus-GO:0046983,virus-GO:0006807,virus-GO:0048519,virus-GO:0019048,virus-GO:0065008,virus-GO:0097159,virus-GO:0044237,virus-GO:0001071,virus-GO:0044087,virus-GO:0031072,virus-GO:0019222","host-IPR029823,host-IPR004827,host-IPR002112,host-IPR008917,host-IPR005643,virus-IPR000837,virus-IPR004827"
