xref_partners_sorted,GO,interpro
uniprotkb:P89884%uniprotkb:Q14457,"host-GO:0044710,host-GO:0044444,host-GO:0044238,host-GO:0044446,host-GO:0044763,host-GO:0051716,host-GO:0044425,host-GO:0009628,host-GO:0042221,host-GO:0007154,host-GO:0009056,host-GO:0071704,host-GO:0009607,host-GO:0031090,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0016020,host-GO:0044767,host-GO:0048583,host-GO:0042995,host-GO:0051641,host-GO:0006950,host-GO:0043548,host-GO:0006807,host-GO:0009719,host-GO:0002252,host-GO:0048519,host-GO:0016043,host-GO:0019899,host-GO:0051234,host-GO:0022402,host-GO:0044237,host-GO:0043227,host-GO:0097458,host-GO:0032879,host-GO:0048856,host-GO:0005737,host-GO:0044087,host-GO:0032991,host-GO:0051707,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0050794","host-IPR007243,host-IPR032913,host-IPR029318,virus-IPR029450,virus-IPR026298"
uniprotkb:O41932%uniprotkb:Q9UHD2,"host-GO:0044444,host-GO:0044238,host-GO:0045321,host-GO:0043900,host-GO:0044446,host-GO:0002376,host-GO:0097367,host-GO:0044707,host-GO:0044763,host-GO:0051239,host-GO:1901363,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0031090,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0016020,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0036094,host-GO:0003824,host-GO:0002252,host-GO:0048519,host-GO:0051219,host-GO:0097159,host-GO:0043167,host-GO:0007165,host-GO:0008283,host-GO:0044237,host-GO:0006955,host-GO:0005737,host-GO:0051707,host-GO:0019222,host-GO:0023051,host-GO:0002253,","host-IPR011009,host-IPR017441,host-IPR000719,virus-IPR006882"
uniprotkb:O41932%uniprotkb:Q9WUN2,"host-GO:0044444,host-GO:0044238,host-GO:0045321,host-GO:0043900,host-GO:0002376,host-GO:0097367,host-GO:0044763,host-GO:0051239,host-GO:1901363,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0036094,host-GO:0003824,host-GO:0002252,host-GO:0048519,host-GO:0051219,host-GO:0097159,host-GO:0043167,host-GO:0008283,host-GO:0044237,host-GO:0006955,host-GO:0005737,host-GO:0051707,host-GO:0019222,host-GO:0023051,host-GO:0002253,","host-IPR011009,host-IPR017441,host-IPR000719,virus-IPR006882"
uniprotkb:P89884%uniprotkb:Q07812,"host-GO:0044710,host-GO:0044444,host-GO:0033036,host-GO:0044421,host-GO:0045321,host-GO:0044238,host-GO:0044446,host-GO:0044707,host-GO:0071944,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0044425,host-GO:0044702,host-GO:0042221,host-GO:0051239,host-GO:0019904,host-GO:0071704,host-GO:0002682,host-GO:0031090,host-GO:0042802,host-GO:0050794,host-GO:0016020,host-GO:0048518,host-GO:0044767,host-GO:0048583,host-GO:0051641,host-GO:0046983,host-GO:0048870,host-GO:0006950,host-GO:0032844,host-GO:0048609,host-GO:0006807,host-GO:0003006,host-GO:0048519,host-GO:0022602,host-GO:0050793,host-GO:0005215,host-GO:0016043,host-GO:0065008,host-GO:0051234,host-GO:0006808,host-GO:0008289,host-GO:0001776,host-GO:0007165,host-GO:0022402,host-GO:0008283,host-GO:0005622,host-GO:0043230,host-GO:0043227,host-GO:0044237,host-GO:0009653,host-GO:0002262,host-GO:0051087,host-GO:0002253,host-GO:0032879,host-GO:1902578,host-GO:0044087,host-GO:0005737,host-GO:0048856,host-GO:0031072,host-GO:0032991,host-GO:0048070,host-GO:0065009,host-GO:0002339,host-GO:0019222,host-GO:0031968,host-GO:0031975,host-GO:0023051,host-GO:0043229,virus-GO:0050794","host-IPR020728,host-IPR026298,host-IPR002475,host-IPR020717,host-IPR020726,host-IPR026304,virus-IPR029450,virus-IPR026298"
uniprotkb:O41925%uniprotkb:P13500,"host-GO:0044710,host-GO:0044421,host-GO:0044238,host-GO:0044763,host-GO:0051716,host-GO:0040012,host-GO:0042221,host-GO:0005576,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0044767,host-GO:0048583,host-GO:0048870,host-GO:0006950,host-GO:0006807,host-GO:0009719,host-GO:0005102,host-GO:0003824,host-GO:0048519,host-GO:0050793,host-GO:0016043,host-GO:0065008,host-GO:0007155,host-GO:0050900,host-GO:0019079,host-GO:0048646,host-GO:0007165,host-GO:0005622,host-GO:0044237,host-GO:0030155,host-GO:0042330,host-GO:0009653,host-GO:0006955,host-GO:0032879,host-GO:0051707,host-GO:0065009,host-GO:0019222,host-GO:0023051,virus-GO:0019955","host-IPR000827,host-IPR001811,virus-IPR015296"
uniprotkb:O09167%uniprotkb:O41974,"host-GO:0044237,host-GO:0005198,host-GO:0044444,host-GO:1901363,host-GO:0009058,host-GO:0071704,host-GO:0044238,host-GO:0044446,host-GO:0016020,host-GO:0032991,host-GO:0043228,host-GO:0097159,host-GO:0030529,host-GO:0006807,host-GO:0005622,host-GO:0043229,virus-GO:0033036,virus-GO:0051234,virus-GO:0051641,virus-GO:0042802","host-IPR018259,host-IPR001147,host-IPR008991"
uniprotkb:O41974%uniprotkb:P10126,"host-GO:0044421,host-GO:0044444,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0097367,host-GO:0051716,host-GO:0044425,host-GO:0042221,host-GO:1901363,host-GO:0071704,host-GO:0016020,host-GO:0043209,host-GO:0006807,host-GO:0003824,host-GO:0036094,host-GO:0044463,host-GO:0009719,host-GO:0019899,host-GO:0043228,host-GO:0097159,host-GO:0043167,host-GO:0044237,host-GO:0043227,host-GO:0043230,host-GO:0005737,host-GO:0044459,host-GO:0005886,host-GO:0043229,virus-GO:0033036,virus-GO:0051234,virus-GO:0051641,virus-GO:0042802","host-IPR031157,host-IPR004160,host-IPR009001,host-IPR000795,host-IPR004539,host-IPR004161,host-IPR027417,host-IPR009000"
uniprotkb:O41974%uniprotkb:P15864,"host-GO:0044237,host-GO:0043227,host-GO:0003682,host-GO:1901363,host-GO:0071704,host-GO:0044238,host-GO:0032259,host-GO:0044446,host-GO:0016043,host-GO:0050794,host-GO:0032991,host-GO:0043228,host-GO:0097159,host-GO:0019222,host-GO:0006807,host-GO:0043229,host-GO:0048519,virus-GO:0033036,virus-GO:0051234,virus-GO:0051641,virus-GO:0042802","host-IPR005819,host-IPR005818,host-IPR011991"
uniprotkb:O41974%uniprotkb:P60710,"host-GO:0044444,host-GO:0044421,host-GO:0008134,host-GO:0044446,host-GO:0097367,host-GO:0044763,host-GO:0003682,host-GO:1901363,host-GO:0042802,host-GO:0044767,host-GO:0044877,host-GO:0016020,host-GO:0043209,host-GO:0036094,host-GO:0098602,host-GO:0016043,host-GO:0019899,host-GO:0065008,host-GO:0043228,host-GO:0031248,host-GO:0007155,host-GO:0097159,host-GO:0043167,host-GO:0043230,host-GO:0043227,host-GO:0030054,host-GO:0005198,host-GO:0008092,host-GO:0048856,host-GO:0005737,host-GO:0032991,host-GO:0005886,host-GO:0030529,host-GO:0043229,virus-GO:0033036,virus-GO:0051234,virus-GO:0051641,virus-GO:0042802","host-IPR020902,host-IPR004000,host-IPR004001"
uniprotkb:O41974%uniprotkb:P62900,"host-GO:0044237,host-GO:0043227,host-GO:0043230,host-GO:0005198,host-GO:0044444,host-GO:0044421,host-GO:0030054,host-GO:1901363,host-GO:0009058,host-GO:0071704,host-GO:0044238,host-GO:0044446,host-GO:0016020,host-GO:0032991,host-GO:0043228,host-GO:0097159,host-GO:0030529,host-GO:0006807,host-GO:0005622,host-GO:0043229,virus-GO:0033036,virus-GO:0051234,virus-GO:0051641,virus-GO:0042802","host-IPR020052,host-IPR023621,host-IPR000054"
