xref_partners_sorted,GO,interpro
uniprotkb:G3G926%uniprotkb:P63085,"host-GO:0044710,host-GO:0044444,host-GO:0044421,host-GO:0008134,host-GO:0004871,host-GO:0009058,host-GO:0033036,host-GO:0044238,host-GO:0044446,host-GO:0097367,host-GO:0044763,host-GO:0051716,host-GO:0044425,host-GO:0040012,host-GO:0042221,host-GO:0044702,host-GO:0007154,host-GO:0051239,host-GO:1901363,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0042802,host-GO:0009605,host-GO:0044767,host-GO:0048518,host-GO:0050794,host-GO:0016020,host-GO:0048583,host-GO:0042995,host-GO:0051641,host-GO:0032844,host-GO:0006950,host-GO:0006807,host-GO:0003824,host-GO:0009719,host-GO:0003006,host-GO:0044463,host-GO:0036094,host-GO:0048519,host-GO:0003008,host-GO:0050793,host-GO:0051219,host-GO:0019899,host-GO:0065008,host-GO:0043228,host-GO:0051234,host-GO:0097159,host-GO:0043167,host-GO:0048646,host-GO:0007165,host-GO:0008283,host-GO:0044237,host-GO:0043227,host-GO:0030054,host-GO:0043230,host-GO:0009653,host-GO:0097458,host-GO:0002253,host-GO:0032879,host-GO:0043627,host-GO:0048856,host-GO:0005737,host-GO:1902578,host-GO:0044459,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0005886,host-GO:0023051,host-GO:0043229,virus-GO:0008134,virus-GO:0043621,virus-GO:0042802,virus-GO:0044217,virus-GO:0033644","host-IPR003527,host-IPR011009,host-IPR000719,host-IPR017441,host-IPR008271,host-IPR008349,virus-IPR003485"
uniprotkb:A0A142I9X8%uniprotkb:D3ZH41,"virus-GO:0046794,virus-GO:0016020,virus-GO:0051234,virus-GO:1902579,virus-GO:0044425","host-IPR028428,virus-IPR009278"
uniprotkb:A0A142I9X8%uniprotkb:D3ZKH6,"host-GO:0012505,host-GO:0043227,host-GO:0044444,host-GO:0033036,host-GO:0032879,host-GO:0005622,host-GO:0005929,host-GO:0019899,host-GO:0050794,host-GO:0051234,host-GO:0051641,host-GO:0042995,host-GO:0065009,host-GO:0098772,host-GO:0043229,virus-GO:0046794,virus-GO:0016020,virus-GO:0051234,virus-GO:1902579,virus-GO:0044425","host-IPR011993,host-IPR006020,host-IPR000195,host-IPR022164,virus-IPR009278"
uniprotkb:A0A142I9X8%uniprotkb:D3ZPR0,"host-GO:0043230,host-GO:0043227,host-GO:0044444,host-GO:0033036,host-GO:0044421,host-GO:0005215,host-GO:1902578,host-GO:0044446,host-GO:0019899,host-GO:0016020,host-GO:0031975,host-GO:0051234,host-GO:0051641,host-GO:0043229,virus-GO:0046794,virus-GO:0016020,virus-GO:0051234,virus-GO:1902579,virus-GO:0044425","host-IPR005043,host-IPR011989,host-IPR016024,host-IPR001494,host-IPR013713,virus-IPR009278"
uniprotkb:A0A142I9X8%uniprotkb:D3ZWW5,"host-GO:0003682,host-GO:0043227,host-GO:0005215,host-GO:0000988,host-GO:0050794,host-GO:0016020,host-GO:0048518,host-GO:0051234,host-GO:0043228,host-GO:0044425,host-GO:0019222,host-GO:0005102,host-GO:0043229,virus-GO:0046794,virus-GO:0016020,virus-GO:0051234,virus-GO:1902579,virus-GO:0044425","host-IPR022656,host-IPR002524,host-IPR009061,host-IPR027470,virus-IPR009278"
uniprotkb:A0A142I9X8%uniprotkb:D3ZX42,"host-GO:0012505,host-GO:0044444,host-GO:0033036,host-GO:0032879,host-GO:0019899,host-GO:0050794,host-GO:0044763,host-GO:0051234,host-GO:0065009,host-GO:0051641,host-GO:0098772,host-GO:0005622,virus-GO:0046794,virus-GO:0016020,virus-GO:0051234,virus-GO:1902579,virus-GO:0044425","host-IPR006020,host-IPR000195,host-IPR022164,host-IPR011993,host-IPR033185,virus-IPR009278"
uniprotkb:A0A142I9X8%uniprotkb:D4A0A1,"host-GO:0044421,host-GO:0050794,host-GO:0016020,host-GO:0019222,host-GO:0044425,virus-GO:0046794,virus-GO:0016020,virus-GO:0051234,virus-GO:1902579,virus-GO:0044425","host-IPR027881,virus-IPR009278"
uniprotkb:A0A142I9X8%uniprotkb:D4A1D8,"host-GO:0016020,host-GO:0044425,virus-GO:0046794,virus-GO:0016020,virus-GO:0051234,virus-GO:1902579,virus-GO:0044425","host-IPR002995,virus-IPR009278"
uniprotkb:A0A142I9X8%uniprotkb:D4A3T0,"host-GO:0048589,host-GO:0044707,host-GO:0044297,host-GO:0044763,host-GO:0044702,host-GO:0051239,host-GO:0019904,host-GO:1901363,host-GO:0002682,host-GO:0050794,host-GO:0044767,host-GO:0048518,host-GO:0016020,host-GO:0048583,host-GO:0046983,host-GO:0050793,host-GO:0044456,host-GO:0016043,host-GO:0065008,host-GO:0097159,host-GO:0001776,host-GO:0007165,host-GO:0098772,host-GO:0030155,host-GO:0009653,host-GO:0097458,host-GO:0048856,host-GO:0005737,host-GO:0065009,host-GO:0005886,host-GO:0023051,host-GO:0099572,virus-GO:0046794,virus-GO:0016020,virus-GO:0051234,virus-GO:1902579,virus-GO:0044425","host-IPR019804,host-IPR000651,host-IPR001895,host-IPR007125,host-IPR011993,host-IPR001849,host-IPR023578,host-IPR009072,host-IPR000219,virus-IPR009278"
uniprotkb:A0A142I9X8%uniprotkb:D4A781,"host-GO:0043227,host-GO:0033036,host-GO:0005215,host-GO:1901363,host-GO:0032879,host-GO:1902578,host-GO:0031090,host-GO:0044446,host-GO:0033218,host-GO:0019899,host-GO:0005737,host-GO:0051234,host-GO:0051641,host-GO:0016020,host-GO:0051716,host-GO:0097159,host-GO:0048518,host-GO:0042221,host-GO:0009719,host-GO:0043229,virus-GO:0046794,virus-GO:0016020,virus-GO:0051234,virus-GO:1902579,virus-GO:0044425","host-IPR000357,host-IPR034085,host-IPR011989,host-IPR016024,host-IPR001494,virus-IPR009278"
