xref_partners_sorted,GO,interpro
uniprotkb:P03206%uniprotkb:P63244,"host-GO:0044444,host-GO:0044421,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0044297,host-GO:0051716,host-GO:0044425,host-GO:0030529,host-GO:0040012,host-GO:0042221,host-GO:0051239,host-GO:0019904,host-GO:0030496,host-GO:1901363,host-GO:0071704,host-GO:0042802,host-GO:0044767,host-GO:0050794,host-GO:0048518,host-GO:0044877,host-GO:0048583,host-GO:0042995,host-GO:0016020,host-GO:0046983,host-GO:0032844,host-GO:0048511,host-GO:0006807,host-GO:0005102,host-GO:0032947,host-GO:0048519,host-GO:0050793,host-GO:0019899,host-GO:0050839,host-GO:0065008,host-GO:0043228,host-GO:0040008,host-GO:0097159,host-GO:0098772,host-GO:0044237,host-GO:0043227,host-GO:0043230,host-GO:0005198,host-GO:0043473,host-GO:0009653,host-GO:0097458,host-GO:0032879,host-GO:0044087,host-GO:0048856,host-GO:0005737,host-GO:0044459,host-GO:0032991,host-GO:0065009,host-GO:0060090,host-GO:0019222,host-GO:0005886,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0009058,virus-GO:0019046,virus-GO:0044238,virus-GO:0044419,virus-GO:0050690,virus-GO:1901363,virus-GO:0071704,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0048518,virus-GO:0048583,virus-GO:0046983,virus-GO:0006807,virus-GO:0048519,virus-GO:0019048,virus-GO:0097159,virus-GO:0044237,virus-GO:0001071,virus-GO:0051707,virus-GO:0065009,virus-GO:0019222","host-IPR017986,host-IPR015943,host-IPR020472,host-IPR019775,host-IPR001680,virus-IPR004827,virus-IPR017339"
uniprotkb:P03179%uniprotkb:P09874,"host-GO:0044710,host-GO:0044444,host-GO:0008134,host-GO:0051606,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0042221,host-GO:0051239,host-GO:1901363,host-GO:0071704,host-GO:0042802,host-GO:0050794,host-GO:0048518,host-GO:0044767,host-GO:0016020,host-GO:0048583,host-GO:0032844,host-GO:0006950,host-GO:0006807,host-GO:0003824,host-GO:0005102,host-GO:0009719,host-GO:0048519,host-GO:0046332,host-GO:0036094,host-GO:0050793,host-GO:0016043,host-GO:0019899,host-GO:0065008,host-GO:0043228,host-GO:0097159,host-GO:0043167,host-GO:0007165,host-GO:0044237,host-GO:0043227,host-GO:0047485,host-GO:0001071,host-GO:0032879,host-GO:0044087,host-GO:0031975,host-GO:0048037,host-GO:0032991,host-GO:0065009,host-GO:0005667,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0046794,virus-GO:0019033,virus-GO:0051234,virus-GO:1902579","host-IPR004102,host-IPR001510,host-IPR012982,host-IPR001357,host-IPR008288,host-IPR008893,host-IPR012317,virus-IPR029062,virus-IPR024346,virus-IPR010918,virus-IPR016188,virus-IPR010077"
uniprotkb:P03179%uniprotkb:Q9UER7,"host-GO:0044444,host-GO:0008134,host-GO:0004871,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044763,host-GO:0042393,host-GO:0051716,host-GO:0009628,host-GO:0042221,host-GO:0032182,host-GO:0071704,host-GO:0042802,host-GO:0050794,host-GO:0048518,host-GO:0048583,host-GO:0046983,host-GO:0006950,host-GO:0006807,host-GO:0005102,host-GO:0048519,host-GO:0002039,host-GO:0016043,host-GO:0019899,host-GO:0043228,host-GO:0007165,host-GO:0098772,host-GO:0044237,host-GO:0043227,host-GO:0047485,host-GO:0000988,host-GO:0005737,host-GO:0031072,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0046794,virus-GO:0019033,virus-GO:0051234,virus-GO:1902579","host-IPR005012,host-IPR032675,host-IPR031333,virus-IPR029062,virus-IPR024346,virus-IPR010918,virus-IPR016188,virus-IPR010077"
uniprotkb:P03204%uniprotkb:Q06330,"host-GO:0033036,host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0045321,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0051716,host-GO:0044702,host-GO:0051239,host-GO:0003682,host-GO:0098727,host-GO:1901363,host-GO:0071704,host-GO:0009607,host-GO:0009605,host-GO:0044767,host-GO:0048518,host-GO:0050794,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0003824,host-GO:0003006,host-GO:0048519,host-GO:0050793,host-GO:0043228,host-GO:0040008,host-GO:0051234,host-GO:0097159,host-GO:0048646,host-GO:0007165,host-GO:0044237,host-GO:0043227,host-GO:0009653,host-GO:0001071,host-GO:0047485,host-GO:0006955,host-GO:1902578,host-GO:0048856,host-GO:0005737,host-GO:0032991,host-GO:0051707,host-GO:0005667,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0044237,virus-GO:0019048,virus-GO:0044094,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0019222,virus-GO:0006807,virus-GO:0044419","host-IPR014756,host-IPR013783,host-IPR015351,host-IPR015350,host-IPR008967,virus-IPR007706"
uniprotkb:P12977%uniprotkb:Q06330,"host-GO:0033036,host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0045321,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0051716,host-GO:0044702,host-GO:0051239,host-GO:0003682,host-GO:0098727,host-GO:1901363,host-GO:0071704,host-GO:0009607,host-GO:0009605,host-GO:0044767,host-GO:0048518,host-GO:0050794,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0003824,host-GO:0003006,host-GO:0048519,host-GO:0050793,host-GO:0043228,host-GO:0040008,host-GO:0051234,host-GO:0097159,host-GO:0048646,host-GO:0007165,host-GO:0044237,host-GO:0043227,host-GO:0009653,host-GO:0001071,host-GO:0047485,host-GO:0006955,host-GO:1902578,host-GO:0048856,host-GO:0005737,host-GO:0032991,host-GO:0051707,host-GO:0005667,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0044237,virus-GO:0019083,virus-GO:0044094,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0019222,virus-GO:0006807","host-IPR014756,host-IPR013783,host-IPR015351,host-IPR015350,host-IPR008967,virus-IPR007706"
uniprotkb:P12978%uniprotkb:Q06330,"host-GO:0033036,host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0045321,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0051716,host-GO:0044702,host-GO:0051239,host-GO:0003682,host-GO:0098727,host-GO:1901363,host-GO:0071704,host-GO:0009607,host-GO:0009605,host-GO:0044767,host-GO:0048518,host-GO:0050794,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0003824,host-GO:0003006,host-GO:0048519,host-GO:0050793,host-GO:0043228,host-GO:0040008,host-GO:0051234,host-GO:0097159,host-GO:0048646,host-GO:0007165,host-GO:0044237,host-GO:0043227,host-GO:0009653,host-GO:0001071,host-GO:0047485,host-GO:0006955,host-GO:1902578,host-GO:0048856,host-GO:0005737,host-GO:0032991,host-GO:0051707,host-GO:0005667,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0044094,virus-GO:0009058,virus-GO:0044238,virus-GO:0044419,virus-GO:0050690,virus-GO:0019083,virus-GO:0071704,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0048518,virus-GO:0048583,virus-GO:0006807,virus-GO:0048519,virus-GO:0019048,virus-GO:0044237,virus-GO:0051707,virus-GO:0065009,virus-GO:0019222,virus-GO:0023051","host-IPR014756,host-IPR013783,host-IPR015351,host-IPR015350,host-IPR008967"
uniprotkb:P03203%uniprotkb:Q06330,"host-GO:0033036,host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0045321,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0051716,host-GO:0044702,host-GO:0051239,host-GO:0003682,host-GO:0098727,host-GO:1901363,host-GO:0071704,host-GO:0009607,host-GO:0009605,host-GO:0044767,host-GO:0048518,host-GO:0050794,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0003824,host-GO:0003006,host-GO:0048519,host-GO:0050793,host-GO:0043228,host-GO:0040008,host-GO:0051234,host-GO:0097159,host-GO:0048646,host-GO:0007165,host-GO:0044237,host-GO:0043227,host-GO:0009653,host-GO:0001071,host-GO:0047485,host-GO:0006955,host-GO:1902578,host-GO:0048856,host-GO:0005737,host-GO:0032991,host-GO:0051707,host-GO:0005667,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0044237,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0019222,virus-GO:0006807","host-IPR014756,host-IPR013783,host-IPR015351,host-IPR015350,host-IPR008967,virus-IPR007706"
uniprotkb:P03192%uniprotkb:P05556,"host-GO:0044710,host-GO:0044444,host-GO:0044421,host-GO:0004871,host-GO:0048589,host-GO:0001968,host-GO:0045321,host-GO:0044707,host-GO:0035748,host-GO:0044763,host-GO:0051716,host-GO:0044425,host-GO:0009628,host-GO:0016049,host-GO:0044702,host-GO:0042221,host-GO:0044419,host-GO:0019955,host-GO:0032155,host-GO:0051239,host-GO:0071704,host-GO:0002682,host-GO:0050840,host-GO:0044767,host-GO:0050794,host-GO:0016020,host-GO:0048518,host-GO:0048583,host-GO:0042995,host-GO:0044877,host-GO:0046983,host-GO:0048870,host-GO:0006950,host-GO:0098631,host-GO:0009986,host-GO:0009719,host-GO:0098602,host-GO:0045202,host-GO:0044463,host-GO:0048519,host-GO:0005102,host-GO:0003008,host-GO:0032403,host-GO:0050793,host-GO:0044456,host-GO:0098794,host-GO:0043236,host-GO:0016043,host-GO:0050839,host-GO:0019899,host-GO:0051234,host-GO:0007155,host-GO:0050900,host-GO:0043167,host-GO:0060089,host-GO:0007165,host-GO:0022402,host-GO:0043230,host-GO:0043227,host-GO:0030054,host-GO:0008092,host-GO:0044237,host-GO:0044708,host-GO:0009653,host-GO:0032879,host-GO:0097458,host-GO:1902578,host-GO:0048856,host-GO:0005737,host-GO:0044459,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0005886,host-GO:0023051,host-GO:0097610,host-GO:0043229,virus-GO:0016020,virus-GO:0044217,virus-GO:0044406,virus-GO:0044425,virus-GO:0055036,virus-GO:0033644,virus-GO:0044419","host-IPR002369,host-IPR014836,host-IPR027071,host-IPR032695,host-IPR002035,host-IPR033760,host-IPR016201,host-IPR015812,host-IPR013111,host-IPR012896,virus-IPR006727"
uniprotkb:P01106%uniprotkb:P03204,"host-GO:0044710,host-GO:0044444,host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0042221,host-GO:0051239,host-GO:1901363,host-GO:0071704,host-GO:0002682,host-GO:0050794,host-GO:0048518,host-GO:0044877,host-GO:0044767,host-GO:0048583,host-GO:0046983,host-GO:0032844,host-GO:0006950,host-GO:0006807,host-GO:0048519,host-GO:0032403,host-GO:0050793,host-GO:0016043,host-GO:0065008,host-GO:0043228,host-GO:0051234,host-GO:0097159,host-GO:0007165,host-GO:0022402,host-GO:0044237,host-GO:0043227,host-GO:0009653,host-GO:0001071,host-GO:1902578,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0044237,virus-GO:0019048,virus-GO:0044094,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0019222,virus-GO:0006807,virus-GO:0044419","host-IPR003327,host-IPR012682,host-IPR011598,host-IPR002418,virus-IPR007706"
uniprotkb:P03179%uniprotkb:P06748,"host-GO:0044444,host-GO:0033036,host-GO:0008134,host-GO:0044238,host-GO:0044446,host-GO:0044763,host-GO:0042393,host-GO:0051716,host-GO:0009628,host-GO:0007017,host-GO:1901363,host-GO:0071704,host-GO:0042802,host-GO:0050794,host-GO:0044877,host-GO:0048518,host-GO:0051641,host-GO:0016020,host-GO:0044767,host-GO:0046983,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0048519,host-GO:0016043,host-GO:0019899,host-GO:0043228,host-GO:0051234,host-GO:0097159,host-GO:0007165,host-GO:0022402,host-GO:0098772,host-GO:0044237,host-GO:0043227,host-GO:0030054,host-GO:0051082,host-GO:0000988,host-GO:0044087,host-GO:0005737,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0030529,host-GO:0043229,virus-GO:0033647,virus-GO:0046794,virus-GO:0019033,virus-GO:0051234,virus-GO:1902579","host-IPR024057,host-IPR032569,host-IPR004301,virus-IPR029062,virus-IPR024346,virus-IPR010918,virus-IPR016188,virus-IPR010077"
