xref_partners_sorted,GO,interpro
uniprotkb:P30020%uniprotkb:P51610,"host-GO:0008134,host-GO:0009058,host-GO:0019046,host-GO:0044238,host-GO:0044446,host-GO:0044297,host-GO:0044763,host-GO:0051716,host-GO:0042221,host-GO:0003682,host-GO:0071704,host-GO:0042802,host-GO:0050794,host-GO:0016020,host-GO:0048518,host-GO:0042995,host-GO:0006807,host-GO:0003824,host-GO:0048519,host-GO:0016043,host-GO:0034708,host-GO:0050839,host-GO:0065008,host-GO:0031248,host-GO:0044237,host-GO:0043227,host-GO:0001071,host-GO:0097458,host-GO:0000988,host-GO:0044087,host-GO:0005737,host-GO:0032991,host-GO:0019222,host-GO:0043229,virus-GO:0033647,virus-GO:0044237,virus-GO:0019083,virus-GO:1901363,virus-GO:0009058,virus-GO:0019033,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0097159,virus-GO:0019222,virus-GO:0006807","host-IPR006652,host-IPR015916,host-IPR003961,host-IPR015915,host-IPR013783,virus-IPR003174"
uniprotkb:K4P3M7%uniprotkb:Q09472,"host-GO:0044444,host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0045321,host-GO:0043900,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0044419,host-GO:0043229,host-GO:0003682,host-GO:0051239,host-GO:1901363,host-GO:0071704,host-GO:0002682,host-GO:0050794,host-GO:0048518,host-GO:0044767,host-GO:0048583,host-GO:0006950,host-GO:0048511,host-GO:0006807,host-GO:0003824,host-GO:0005102,host-GO:0048519,host-GO:0008022,host-GO:0008013,host-GO:0002039,host-GO:0016043,host-GO:0065008,host-GO:0031248,host-GO:0097159,host-GO:0043167,host-GO:0048646,host-GO:0007623,host-GO:0007165,host-GO:0022402,host-GO:0044237,host-GO:0043227,host-GO:0009653,host-GO:0001071,host-GO:0000988,host-GO:0043627,host-GO:0048856,host-GO:0005737,host-GO:0032991,host-GO:0005667,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0002253,virus-GO:0048518,virus-GO:0033647,virus-GO:0043900,virus-GO:0019222","host-IPR010303,host-IPR009110,host-IPR013178,host-IPR018359,host-IPR031162,host-IPR000197,host-IPR001487,host-IPR000433,host-IPR003101,host-IPR014744,virus-IPR017907,virus-IPR013083,virus-IPR001841"
uniprotkb:P29128%uniprotkb:Q13547,"host-GO:0044710,host-GO:0044444,host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0043900,host-GO:0044446,host-GO:0044707,host-GO:0044763,host-GO:0044419,host-GO:0003682,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0044877,host-GO:0044767,host-GO:0048518,host-GO:0048583,host-GO:0048511,host-GO:0006807,host-GO:0003824,host-GO:0048519,host-GO:0002039,host-GO:0016043,host-GO:0019899,host-GO:0065008,host-GO:0097159,host-GO:0007623,host-GO:0048646,host-GO:0044237,host-GO:0043227,host-GO:0009653,host-GO:0001071,host-GO:0047485,host-GO:0000988,host-GO:0048856,host-GO:0005737,host-GO:0032991,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0044094,virus-GO:0009058,virus-GO:0044238,virus-GO:0044419,virus-GO:0050690,virus-GO:1901363,virus-GO:0071704,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0048583,virus-GO:0006807,virus-GO:0003824,virus-GO:0048519,virus-GO:0019048,virus-GO:0043167,virus-GO:0097159,virus-GO:0044237,virus-GO:0051707,virus-GO:0065009,virus-GO:0019222","host-IPR023801,host-IPR000286,host-IPR003084,virus-IPR017907,virus-IPR013083,virus-IPR001841"
uniprotkb:P29128%uniprotkb:Q92985,"host-GO:0044444,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044707,host-GO:0002376,host-GO:0051716,host-GO:0044764,host-GO:0051239,host-GO:1901363,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0031090,host-GO:0009605,host-GO:0050794,host-GO:0016020,host-GO:0048518,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0002252,host-GO:0048519,host-GO:0019043,host-GO:0050793,host-GO:0097159,host-GO:0007165,host-GO:0044237,host-GO:0043227,host-GO:0006955,host-GO:0001071,host-GO:0002253,host-GO:0005737,host-GO:0051707,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0044094,virus-GO:0009058,virus-GO:0044238,virus-GO:0044419,virus-GO:0050690,virus-GO:1901363,virus-GO:0071704,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0048583,virus-GO:0006807,virus-GO:0003824,virus-GO:0048519,virus-GO:0019048,virus-GO:0043167,virus-GO:0097159,virus-GO:0044237,virus-GO:0051707,virus-GO:0065009,virus-GO:0019222","host-IPR011991,host-IPR017855,host-IPR001346,host-IPR019471,host-IPR019817,host-IPR008984,virus-IPR017907,virus-IPR013083,virus-IPR001841"
uniprotkb:O15533%uniprotkb:Q77CE4,"host-GO:0003823,host-GO:0044444,host-GO:0044446,host-GO:0044763,host-GO:0044425,host-GO:0046977,host-GO:0071704,host-GO:0031090,host-GO:0019882,host-GO:0016020,host-GO:0006807,host-GO:0003824,host-GO:0005102,host-GO:0005215,host-GO:0016043,host-GO:0033218,host-GO:0065008,host-GO:0051234,host-GO:0044237,host-GO:0043227,host-GO:0006955,host-GO:0051082,host-GO:0032991,host-GO:0019222,host-GO:0043229,virus-GO:0033647,virus-GO:0044217,virus-GO:0044425,virus-GO:0044419,virus-GO:0033655,virus-GO:0050690,virus-GO:0046977,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0016020,virus-GO:0048518,virus-GO:0048583,virus-GO:0033644,virus-GO:0048519,virus-GO:0036338,virus-GO:0019048,virus-GO:0065008,virus-GO:0046980,virus-GO:0032879,virus-GO:0051707,virus-GO:0065009,virus-GO:0055036,virus-GO:0019222","host-IPR013783,host-IPR003597,host-IPR008056,host-IPR007110,virus-IPR034707,virus-IPR008647"
uniprotkb:A0A0D9R898%uniprotkb:P30022,"host-GO:0005956,host-GO:0044421,host-GO:0008134,host-GO:0044238,host-GO:0044446,host-GO:0040012,host-GO:0003682,host-GO:0051239,host-GO:0019904,host-GO:0071704,host-GO:0042802,host-GO:0050794,host-GO:0048518,host-GO:0044767,host-GO:0016020,host-GO:0048583,host-GO:0006807,host-GO:0005102,host-GO:0003824,host-GO:0048519,host-GO:0007165,host-GO:0098772,host-GO:0044237,host-GO:0043227,host-GO:0043230,host-GO:0009653,host-GO:0032879,host-GO:0005737,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0005886,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0003682,virus-GO:0019033,virus-GO:0016043,virus-GO:0050794,virus-GO:0044877,virus-GO:0065008,virus-GO:0030430,virus-GO:0042393,virus-GO:0019222,virus-GO:0033655,virus-GO:0048519","host-IPR000704,host-IPR016149,virus-IPR006908"
uniprotkb:A1A4K3%uniprotkb:P30021,"host-GO:0044421,host-GO:0044238,host-GO:0043900,host-GO:0044446,host-GO:0051716,host-GO:0040012,host-GO:0009628,host-GO:0044419,host-GO:1901363,host-GO:0009056,host-GO:0071704,host-GO:0050794,host-GO:0048518,host-GO:0044877,host-GO:0030674,host-GO:0000151,host-GO:0006950,host-GO:0006807,host-GO:0048519,host-GO:0097602,host-GO:0032403,host-GO:0016043,host-GO:0065008,host-GO:0097159,host-GO:0007165,host-GO:0044237,host-GO:0043227,host-GO:0043230,host-GO:0005737,host-GO:0032991,host-GO:0060090,host-GO:0043229,virus-GO:0033647,virus-GO:0044237,virus-GO:0044094,virus-GO:0009058,virus-GO:0019033,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0030430,virus-GO:0019222,virus-GO:0006807","host-IPR004871,host-IPR011047,host-IPR015943,host-IPR031297,virus-IPR005029"
uniprotkb:A1A4K3%uniprotkb:Q4VW77,"host-GO:0044421,host-GO:0044238,host-GO:0043900,host-GO:0044446,host-GO:0051716,host-GO:0040012,host-GO:0009628,host-GO:0044419,host-GO:1901363,host-GO:0009056,host-GO:0071704,host-GO:0050794,host-GO:0048518,host-GO:0044877,host-GO:0030674,host-GO:0000151,host-GO:0006950,host-GO:0006807,host-GO:0048519,host-GO:0097602,host-GO:0032403,host-GO:0016043,host-GO:0065008,host-GO:0097159,host-GO:0007165,host-GO:0044237,host-GO:0043227,host-GO:0043230,host-GO:0005737,host-GO:0032991,host-GO:0060090,host-GO:0043229,virus-GO:0033647,virus-GO:0051239,virus-GO:0050690,virus-GO:0019048,virus-GO:0032879,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0051707,virus-GO:0030430,virus-GO:0048583,virus-GO:0019222,virus-GO:0023051,virus-GO:0044419,virus-GO:0048519","host-IPR004871,host-IPR011047,host-IPR015943,host-IPR031297,virus-IPR005029"
uniprotkb:A5PJP2%uniprotkb:Q89582,"host-GO:0097159,host-GO:1901363,host-GO:0019222,host-GO:0050794,virus-GO:0033647","host-IPR003034,host-IPR000504,host-IPR034781,virus-IPR003403"
uniprotkb:A8E4Q6%uniprotkb:P29128,"host-GO:0044237,host-GO:0043227,host-GO:1901363,host-GO:0001071,host-GO:0009058,host-GO:0071704,host-GO:0044238,host-GO:0050794,host-GO:0097159,host-GO:0019222,host-GO:0006807,host-GO:0043229,virus-GO:0033647,virus-GO:0044094,virus-GO:0009058,virus-GO:0044238,virus-GO:0044419,virus-GO:0050690,virus-GO:1901363,virus-GO:0071704,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0048583,virus-GO:0006807,virus-GO:0003824,virus-GO:0048519,virus-GO:0019048,virus-GO:0043167,virus-GO:0097159,virus-GO:0044237,virus-GO:0051707,virus-GO:0065009,virus-GO:0019222","host-IPR011991,host-IPR017855,host-IPR001346,host-IPR019471,host-IPR019817,host-IPR008984,virus-IPR017907,virus-IPR013083,virus-IPR001841"
