xref_partners_sorted,GO,interpro
uniprotkb:P52292%uniprotkb:Q6QCM6,"host-GO:0044444,host-GO:0033036,host-GO:0044238,host-GO:0044446,host-GO:0044419,host-GO:1901363,host-GO:0071704,host-GO:0050794,host-GO:0016020,host-GO:0051641,host-GO:0006807,host-GO:0019048,host-GO:0046794,host-GO:0005215,host-GO:0019899,host-GO:0033218,host-GO:0051234,host-GO:0097159,host-GO:0044237,host-GO:0043227,host-GO:1902578,host-GO:0005737,host-GO:0032991,host-GO:1902579,host-GO:0019222,host-GO:0043229,virus-GO:0044237,virus-GO:0033647,virus-GO:0009058,virus-GO:1901363,virus-GO:0071704,virus-GO:0044238,virus-GO:0019079,virus-GO:0043167,virus-GO:0097159,virus-GO:0006807","host-IPR000225,host-IPR002652,host-IPR011989,host-IPR016024,host-IPR024931,host-IPR032413,virus-IPR000635"
uniprotkb:P08047%uniprotkb:Q6QCP6,"host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0043900,host-GO:0044446,host-GO:0051716,host-GO:0042221,host-GO:0044419,host-GO:0019904,host-GO:1901363,host-GO:0071704,host-GO:0042802,host-GO:0050794,host-GO:0048518,host-GO:0046983,host-GO:0048511,host-GO:0006807,host-GO:0009719,host-GO:0008022,host-GO:0019899,host-GO:0097159,host-GO:0043167,host-GO:0044237,host-GO:0043227,host-GO:0001071,host-GO:0005737,host-GO:0032991,host-GO:0019222,host-GO:0043229","host-IPR013087,host-IPR030449,host-IPR013083,virus-IPR006908"
uniprotkb:G1K7Y3%uniprotkb:Q4JQV0,"virus-GO:0033647,virus-GO:0019072,virus-GO:0019076,virus-GO:0052192,virus-GO:0044419,virus-GO:0044237,virus-GO:0044710,virus-GO:0009058,virus-GO:1901363,virus-GO:0044238,virus-GO:0071704,virus-GO:0003824,virus-GO:0097367,virus-GO:0044763,virus-GO:0043167,virus-GO:0097159,virus-GO:0006807,virus-GO:0036094","virus-IPR005208,virus-IPR027417,virus-IPR001889"
uniprotkb:F5HDE4%uniprotkb:Q4JQV7,"virus-GO:0033647,virus-GO:0050690,virus-GO:0019048,virus-GO:0019033,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0051707,virus-GO:0048583,virus-GO:0065009,virus-GO:0019222,virus-GO:0030430,virus-GO:0044419,virus-GO:0048519,virus-GO:0044237,virus-GO:0044710,virus-GO:0009058,virus-GO:0019046,virus-GO:0071704,virus-GO:0044238,virus-GO:0016020,virus-GO:0044763,virus-GO:0044217,virus-GO:0043167,virus-GO:0044425,virus-GO:0033644,virus-GO:0006807,virus-GO:0003824","virus-IPR009078,virus-IPR034715,virus-IPR000358,virus-IPR030475,virus-IPR033909"
uniprotkb:Q4JQV2%uniprotkb:Q71S15,"virus-GO:0033647,virus-GO:0019028,virus-GO:0036338,virus-GO:0016043,virus-GO:0016020,virus-GO:0044217,virus-GO:0055036,virus-GO:0033644,virus-GO:0044419,virus-GO:0044764,virus-GO:0033655","virus-IPR007584,virus-IPR034708,virus-IPR007923"
uniprotkb:Q4JQV6%uniprotkb:Q6QCN9,"virus-GO:0044237,virus-GO:0044710,virus-GO:0009058,virus-GO:0019046,virus-GO:1901363,virus-GO:0071704,virus-GO:0044238,virus-GO:0003824,virus-GO:0097367,virus-GO:0043167,virus-GO:0097159,virus-GO:0006807,virus-GO:0036094,virus-GO:0044237,virus-GO:0009058,virus-GO:1901363,virus-GO:0071704,virus-GO:0044238,virus-GO:0097159,virus-GO:0006807","virus-IPR013509,virus-IPR034717,virus-IPR013346,virus-IPR000788,virus-IPR003202"
uniprotkb:G9IV65%uniprotkb:Q4JQT4,"virus-GO:0033647,virus-GO:0005198,virus-GO:0019028,virus-GO:0019069,virus-GO:0033647,virus-GO:0019048,virus-GO:0003824,virus-GO:0019033,virus-GO:0044238,virus-GO:0071704,virus-GO:0030430,virus-GO:0019079,virus-GO:0006807,virus-GO:0044419","virus-IPR002690,virus-IPR006928,virus-IPR005210,virus-IPR034702"
uniprotkb:P09312%uniprotkb:Q71S15,"virus-GO:0036338,virus-GO:0046794,virus-GO:0016020,virus-GO:0051234,virus-GO:0044217,virus-GO:1902579,virus-GO:0044425,virus-GO:0055036,virus-GO:0033644,virus-GO:0033655,virus-GO:0036338,virus-GO:0016043,virus-GO:0016020,virus-GO:0044217,virus-GO:0055036,virus-GO:0033644,virus-GO:0044419,virus-GO:0044764,virus-GO:0033655","virus-IPR009278,virus-IPR034708,virus-IPR007923"
uniprotkb:P09310%uniprotkb:Q77NP2,"virus-GO:0033647,virus-GO:0036338,virus-GO:0016020,virus-GO:0044217,virus-GO:0055036,virus-GO:0044425,virus-GO:0033644,virus-GO:0033655,virus-GO:0033647,virus-GO:0044237,virus-GO:0019083,virus-GO:1901363,virus-GO:0009058,virus-GO:0019033,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0048518,virus-GO:0030430,virus-GO:0019222,virus-GO:0097159,virus-GO:0006807","virus-IPR000785,virus-IPR005206,virus-IPR005205"
uniprotkb:I2CNQ8%uniprotkb:Q4JQV0,"virus-GO:0033647,virus-GO:0019072,virus-GO:0019076,virus-GO:0052192,virus-GO:0044419,virus-GO:0016020,virus-GO:0019058,virus-GO:0044425,virus-GO:0036338","virus-IPR005208,virus-IPR007629"
uniprotkb:P09259%uniprotkb:Q77NN8,"virus-GO:0036338,virus-GO:0050690,virus-GO:0033647,virus-GO:0019048,virus-GO:0044156,virus-GO:0009607,virus-GO:0009605,virus-GO:0016020,virus-GO:0051707,virus-GO:0044217,virus-GO:0044406,virus-GO:0044425,virus-GO:0055036,virus-GO:0033644,virus-GO:0044419,virus-GO:0033655,virus-GO:0043167","virus-IPR003404,virus-IPR007110,virus-IPR017907,virus-IPR013083,virus-IPR001841,virus-IPR018957"
uniprotkb:I2CNP5%uniprotkb:Q4JQV6,"virus-GO:0044237,virus-GO:0044710,virus-GO:0009058,virus-GO:0019046,virus-GO:1901363,virus-GO:0071704,virus-GO:0044238,virus-GO:0003824,virus-GO:0097367,virus-GO:0043167,virus-GO:0097159,virus-GO:0006807,virus-GO:0036094,virus-GO:0033647,virus-GO:0046755,virus-GO:0046794,virus-GO:0016020,virus-GO:0051234,virus-GO:0051641,virus-GO:1902579,virus-GO:0044217,virus-GO:0043167,virus-GO:0033644","virus-IPR013509,virus-IPR034717,virus-IPR013346,virus-IPR000788,virus-IPR021152"
uniprotkb:Q4JQT4%uniprotkb:Q71S15,"virus-GO:0033647,virus-GO:0005198,virus-GO:0019028,virus-GO:0019069,virus-GO:0036338,virus-GO:0016043,virus-GO:0016020,virus-GO:0044217,virus-GO:0055036,virus-GO:0033644,virus-GO:0044419,virus-GO:0044764,virus-GO:0033655","virus-IPR002690,virus-IPR034708,virus-IPR007923"
uniprotkb:Q4JQV7%uniprotkb:Q6QCJ7,"virus-GO:0044237,virus-GO:0044710,virus-GO:0009058,virus-GO:0019046,virus-GO:0071704,virus-GO:0044238,virus-GO:0016020,virus-GO:0044763,virus-GO:0044217,virus-GO:0043167,virus-GO:0044425,virus-GO:0033644,virus-GO:0006807,virus-GO:0003824,virus-GO:0033647,virus-GO:0044237,virus-GO:0071704,virus-GO:0044238,virus-GO:0008152,virus-GO:0051716,virus-GO:0006950,virus-GO:0006807,virus-GO:0003824","virus-IPR009078,virus-IPR034715,virus-IPR000358,virus-IPR030475,virus-IPR033909,virus-IPR002043,virus-IPR018085,virus-IPR005122"
uniprotkb:Q4JQT2%uniprotkb:Q71S15,"virus-GO:0033647,virus-GO:0016043,virus-GO:0052192,virus-GO:0019076,virus-GO:0019028,virus-GO:0044419,virus-GO:0036338,virus-GO:0016043,virus-GO:0016020,virus-GO:0044217,virus-GO:0055036,virus-GO:0033644,virus-GO:0044419,virus-GO:0044764,virus-GO:0033655","virus-IPR007640,virus-IPR034708,virus-IPR007923"
uniprotkb:I2CNP5%uniprotkb:Q4JQU1,"virus-GO:0033647,virus-GO:0046794,virus-GO:0051234,virus-GO:0051641,virus-GO:0019072,virus-GO:0019076,virus-GO:0052192,virus-GO:1902579,virus-GO:0019028,virus-GO:0044419,virus-GO:0033647,virus-GO:0046755,virus-GO:0046794,virus-GO:0016020,virus-GO:0051234,virus-GO:0051641,virus-GO:1902579,virus-GO:0044217,virus-GO:0043167,virus-GO:0033644","virus-IPR002493,virus-IPR021152"
uniprotkb:I2CNP5%uniprotkb:P09259,"virus-GO:0036338,virus-GO:0050690,virus-GO:0033647,virus-GO:0019048,virus-GO:0044156,virus-GO:0009607,virus-GO:0009605,virus-GO:0016020,virus-GO:0051707,virus-GO:0044217,virus-GO:0044406,virus-GO:0044425,virus-GO:0055036,virus-GO:0033644,virus-GO:0044419,virus-GO:0033655,virus-GO:0033647,virus-GO:0046755,virus-GO:0046794,virus-GO:0016020,virus-GO:0051234,virus-GO:0051641,virus-GO:1902579,virus-GO:0044217,virus-GO:0043167,virus-GO:0033644","virus-IPR003404,virus-IPR007110,virus-IPR021152"
uniprotkb:P09259%uniprotkb:Q4JQV0,"virus-GO:0036338,virus-GO:0050690,virus-GO:0033647,virus-GO:0019048,virus-GO:0044156,virus-GO:0009607,virus-GO:0009605,virus-GO:0016020,virus-GO:0051707,virus-GO:0044217,virus-GO:0044406,virus-GO:0044425,virus-GO:0055036,virus-GO:0033644,virus-GO:0044419,virus-GO:0033655,virus-GO:0033647,virus-GO:0019072,virus-GO:0019076,virus-GO:0052192,virus-GO:0044419","virus-IPR003404,virus-IPR007110,virus-IPR005208"
uniprotkb:P09259%uniprotkb:Q4JQV2,"virus-GO:0036338,virus-GO:0050690,virus-GO:0033647,virus-GO:0019048,virus-GO:0044156,virus-GO:0009607,virus-GO:0009605,virus-GO:0016020,virus-GO:0051707,virus-GO:0044217,virus-GO:0044406,virus-GO:0044425,virus-GO:0055036,virus-GO:0033644,virus-GO:0044419,virus-GO:0033655,virus-GO:0033647,virus-GO:0019028","virus-IPR003404,virus-IPR007110,virus-IPR007584"
uniprotkb:P09259%uniprotkb:Q71S15,"virus-GO:0036338,virus-GO:0050690,virus-GO:0033647,virus-GO:0019048,virus-GO:0044156,virus-GO:0009607,virus-GO:0009605,virus-GO:0016020,virus-GO:0051707,virus-GO:0044217,virus-GO:0044406,virus-GO:0044425,virus-GO:0055036,virus-GO:0033644,virus-GO:0044419,virus-GO:0033655,virus-GO:0036338,virus-GO:0016043,virus-GO:0016020,virus-GO:0044217,virus-GO:0055036,virus-GO:0033644,virus-GO:0044419,virus-GO:0044764,virus-GO:0033655","virus-IPR003404,virus-IPR007110,virus-IPR034708,virus-IPR007923"
uniprotkb:Q4JQW0%uniprotkb:Q71S15,"virus-GO:0016020,virus-GO:0019033,virus-GO:0044425,virus-GO:0036338,virus-GO:0016043,virus-GO:0016020,virus-GO:0044217,virus-GO:0055036,virus-GO:0033644,virus-GO:0044419,virus-GO:0044764,virus-GO:0033655","virus-IPR007764,virus-IPR034708,virus-IPR007923"
uniprotkb:Q4JQS9%uniprotkb:Q6QCW0,"virus-GO:0033647,virus-GO:0019033,virus-GO:0030430,virus-GO:0044237,virus-GO:0071704,virus-GO:0044238,virus-GO:0006807,virus-GO:0003824","virus-IPR005207,virus-IPR029060,virus-IPR006086"
uniprotkb:G9IV65%uniprotkb:P09259,"virus-GO:0036338,virus-GO:0050690,virus-GO:0033647,virus-GO:0019048,virus-GO:0044156,virus-GO:0009607,virus-GO:0009605,virus-GO:0016020,virus-GO:0051707,virus-GO:0044217,virus-GO:0044406,virus-GO:0044425,virus-GO:0055036,virus-GO:0033644,virus-GO:0044419,virus-GO:0033655,virus-GO:0033647,virus-GO:0019048,virus-GO:0003824,virus-GO:0019033,virus-GO:0044238,virus-GO:0071704,virus-GO:0030430,virus-GO:0019079,virus-GO:0006807,virus-GO:0044419","virus-IPR003404,virus-IPR007110,virus-IPR006928,virus-IPR005210,virus-IPR034702"
uniprotkb:Q0Q846%uniprotkb:Q4JQV0,"virus-GO:0033647,virus-GO:0019072,virus-GO:0019076,virus-GO:0052192,virus-GO:0044419,virus-GO:0071704,virus-GO:0044238,virus-GO:0006807,virus-GO:0003824","virus-IPR005208,virus-IPR001847"
uniprotkb:Q4JQX2%uniprotkb:Q6QCN9,"virus-GO:0033647,virus-GO:0019033,virus-GO:0044094,virus-GO:0019058,virus-GO:0044237,virus-GO:0009058,virus-GO:1901363,virus-GO:0071704,virus-GO:0044238,virus-GO:0097159,virus-GO:0006807","virus-IPR007622,virus-IPR003202"
uniprotkb:P09312%uniprotkb:Q4JQV2,"virus-GO:0036338,virus-GO:0046794,virus-GO:0016020,virus-GO:0051234,virus-GO:0044217,virus-GO:1902579,virus-GO:0044425,virus-GO:0055036,virus-GO:0033644,virus-GO:0033655,virus-GO:0033647,virus-GO:0019028","virus-IPR009278,virus-IPR007584"
uniprotkb:Q4JQV0%uniprotkb:Q6QCQ5,"virus-GO:0033647,virus-GO:0019072,virus-GO:0019076,virus-GO:0052192,virus-GO:0044419,virus-GO:0016020,virus-GO:0044425",virus-IPR005208
uniprotkb:Q4JQV0%uniprotkb:Q6QCM2,"virus-GO:0033647,virus-GO:0019072,virus-GO:0019076,virus-GO:0052192,virus-GO:0044419,virus-GO:0033647,virus-GO:0044419,virus-GO:0044238,virus-GO:0071704,virus-GO:0042802,virus-GO:0030430,virus-GO:0019076,virus-GO:0052192,virus-GO:0006807,virus-GO:0003824","virus-IPR005208,virus-IPR035443,virus-IPR001847"
uniprotkb:Q4JQV6%uniprotkb:Q6QCT9,"virus-GO:0044237,virus-GO:0044710,virus-GO:0009058,virus-GO:0019046,virus-GO:1901363,virus-GO:0071704,virus-GO:0044238,virus-GO:0003824,virus-GO:0097367,virus-GO:0043167,virus-GO:0097159,virus-GO:0006807,virus-GO:0036094","virus-IPR013509,virus-IPR034717,virus-IPR013346,virus-IPR000788,virus-IPR004936"
uniprotkb:P03220%uniprotkb:Q4JQV0,"virus-GO:0033647,virus-GO:0019072,virus-GO:0019076,virus-GO:0052192,virus-GO:0044419","virus-IPR004280,virus-IPR005208"
uniprotkb:Q4JQV0%uniprotkb:Q6QCL3,"virus-GO:0033647,virus-GO:0019072,virus-GO:0019076,virus-GO:0052192,virus-GO:0044419,virus-GO:0033647,virus-GO:0044237,virus-GO:1901363,virus-GO:0003824,virus-GO:0071704,virus-GO:0044238,virus-GO:0016043,virus-GO:0019076,virus-GO:0052192,virus-GO:0097159,virus-GO:0006807,virus-GO:0044419","virus-IPR005208,virus-IPR027417,virus-IPR003499,virus-IPR033663,virus-IPR003498"
uniprotkb:I2CNP5%uniprotkb:P09311,"virus-GO:0033647,virus-GO:0019033,virus-GO:0044094,virus-GO:0043167,virus-GO:0033647,virus-GO:0046755,virus-GO:0046794,virus-GO:0016020,virus-GO:0051234,virus-GO:0051641,virus-GO:1902579,virus-GO:0044217,virus-GO:0043167,virus-GO:0033644","virus-IPR000714,virus-IPR021152"
uniprotkb:Q0Q846%uniprotkb:Q4JQW3,"virus-GO:0044237,virus-GO:0019048,virus-GO:0009058,virus-GO:0019033,virus-GO:0071704,virus-GO:0044238,virus-GO:0050794,virus-GO:0016020,virus-GO:0030430,virus-GO:0044217,virus-GO:0044425,virus-GO:0019222,virus-GO:0033644,virus-GO:0006807,virus-GO:0044419,virus-GO:0071704,virus-GO:0044238,virus-GO:0006807,virus-GO:0003824","virus-IPR005051,virus-IPR001847"
