yourlist:M20171116F725F458AC8690F874DD868E4ED79B88D9A3DCC	isomap:M20171116F725F458AC8690F874DD868E4ED79B88D9A3DCC	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
7161		A0A024R4C3	A0A024R4C3_HUMAN	unreviewed	Tumor protein p73, isoform CRA_a	TP73 hCG_19088	Homo sapiens (Human)	636
7161		A0A0C4DFW9	A0A0C4DFW9_HUMAN	unreviewed	Cellular tumor antigen p53	TP73 hCG_19088	Homo sapiens (Human)	426
7161		O15350	P73_HUMAN	reviewed	Tumor protein p73 (p53-like transcription factor) (p53-related protein)	TP73 P73	Homo sapiens (Human)	636
890		P20248	CCNA2_HUMAN	reviewed	Cyclin-A2 (Cyclin-A) (Cyclin A)	CCNA2 CCN1 CCNA	Homo sapiens (Human)	432
100009271		P62740	ACTA_RABIT	reviewed	Actin, aortic smooth muscle (Alpha-actin-2)	ACTA2 ACTSA ACTVS	Oryctolagus cuniculus (Rabbit)	377
100009298		P62139	PP1A_RABIT	reviewed	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	PPP1CA PPP1A	Oryctolagus cuniculus (Rabbit)	330
100009581		P02643	TNNI2_RABIT	reviewed	Troponin I, fast skeletal muscle (Troponin I, fast-twitch isoform)	TNNI2	Oryctolagus cuniculus (Rabbit)	182
100049126		A0A1L8G0S1	A0A1L8G0S1_XENLA	unreviewed	Histone H3	hist2h3c XELAEV_18026401mg XELAEV_18026407mg XELAEV_18028537mg XELAEV_18028550mg XELAEV_18028555mg XELAEV_18032688mg	Xenopus laevis (African clawed frog)	136
100049126		P84233	H32_XENLA	reviewed	Histone H3.2		Xenopus laevis (African clawed frog)	136
10005		O14734	ACOT8_HUMAN	reviewed	Acyl-coenzyme A thioesterase 8 (Acyl-CoA thioesterase 8) (EC 3.1.2.27) (Choloyl-coenzyme A thioesterase) (HIV-Nef-associated acyl-CoA thioesterase) (PTE-2) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (PTE-1) (Peroxisomal long-chain acyl-CoA thioesterase 1) (Thioesterase II) (hACTE-III) (hACTEIII) (hTE)	ACOT8 ACTEIII PTE1 PTE2	Homo sapiens (Human)	319
100053958		F7D4V9	F7D4V9_HORSE	unreviewed	Cytochrome c	CYCS	Equus caballus (Horse)	105
10013		A0A024QZ26	A0A024QZ26_HUMAN	unreviewed	Histone deacetylase (EC 3.5.1.98)	HDAC6 hCG_19817	Homo sapiens (Human)	1215
10013		B4DZH6	B4DZH6_HUMAN	unreviewed	Histone deacetylase (EC 3.5.1.98)		Homo sapiens (Human)	1229
10013		Q9BRX7	Q9BRX7_HUMAN	unreviewed	HDAC6 protein (Histone deacetylase 6)		Homo sapiens (Human)	146
10013		Q9NSW6	Q9NSW6_HUMAN	unreviewed	Histone deacetylase (EC 3.5.1.98)	DKFZp566E044	Homo sapiens (Human)	1209
10013		Q9UBN7	HDAC6_HUMAN	reviewed	Histone deacetylase 6 (HD6) (EC 3.5.1.98)	HDAC6 KIAA0901 JM21	Homo sapiens (Human)	1215
10014		Q9UQL6	HDAC5_HUMAN	reviewed	Histone deacetylase 5 (HD5) (EC 3.5.1.98) (Antigen NY-CO-9)	HDAC5 KIAA0600	Homo sapiens (Human)	1122
10015		Q8WUM4	PDC6I_HUMAN	reviewed	Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95)	PDCD6IP AIP1 ALIX KIAA1375	Homo sapiens (Human)	868
10018		A0A0A0MRE7	A0A0A0MRE7_HUMAN	unreviewed	Bcl-2-like protein 11	BCL2L11	Homo sapiens (Human)	98
10018		A0A0C4DH20	A0A0C4DH20_HUMAN	unreviewed	Bcl-2-like protein 11	BCL2L11	Homo sapiens (Human)	75
10018		O43521	B2L11_HUMAN	reviewed	Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death)	BCL2L11 BIM	Homo sapiens (Human)	198
100322881		Q8VD40	Q8VD40_CAVPO	unreviewed	F-box protein 2 (F-box protein OCP1)	OCP1 FBXO2	Cavia porcellus (Guinea pig)	300
100337511		Q7ZYL5	KF22B_XENLA	reviewed	Kinesin-like protein KIF22-B (Chromokinesin kid-B) (Xkid-B)	kif22-b kid-b	Xenopus laevis (African clawed frog)	650
10048		A0A024QZW3	A0A024QZW3_HUMAN	unreviewed	RAN binding protein 9, isoform CRA_a	RANBP9 hCG_36756	Homo sapiens (Human)	729
10048		Q96S59	RANB9_HUMAN	reviewed	Ran-binding protein 9 (RanBP9) (BPM-L) (BPM90) (Ran-binding protein M) (RanBPM) (RanBP7)	RANBP9 RANBPM	Homo sapiens (Human)	729
10049		A0A0J9YX62	A0A0J9YX62_HUMAN	unreviewed	DnaJ homolog subfamily B member 6	DNAJB6	Homo sapiens (Human)	334
10049		E9PH18	E9PH18_HUMAN	unreviewed	DnaJ homolog subfamily B member 6	DNAJB6	Homo sapiens (Human)	211
10049		O75190	DNJB6_HUMAN	reviewed	DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1)	DNAJB6 HSJ2 MRJ MSJ1	Homo sapiens (Human)	326
100499482		P62825	RAN_CANLF	reviewed	GTP-binding nuclear protein Ran (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)	RAN	Canis lupus familiaris (Dog) (Canis familiaris)	216
10051		B3KXX5	B3KXX5_HUMAN	unreviewed	Structural maintenance of chromosomes protein		Homo sapiens (Human)	1263
10051		E9PD53	E9PD53_HUMAN	unreviewed	Structural maintenance of chromosomes protein	SMC4	Homo sapiens (Human)	1263
10051		Q58F29	Q58F29_HUMAN	unreviewed	SMC4 protein (Fragment)	SMC4	Homo sapiens (Human)	459
10051		Q9NTJ3	SMC4_HUMAN	reviewed	Structural maintenance of chromosomes protein 4 (SMC protein 4) (SMC-4) (Chromosome-associated polypeptide C) (hCAP-C) (XCAP-C homolog)	SMC4 CAPC SMC4L1	Homo sapiens (Human)	1288
10059		B4DYR6	B4DYR6_HUMAN	unreviewed	cDNA FLJ56381, highly similar to Dynamin-1-like protein (EC 3.6.5.5)		Homo sapiens (Human)	763
10059		G8JLD5	G8JLD5_HUMAN	unreviewed	Dynamin-1-like protein	DNM1L	Homo sapiens (Human)	712
10059		O00429	DNM1L_HUMAN	reviewed	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L DLP1 DRP1	Homo sapiens (Human)	736
10063		Q14061	COX17_HUMAN	reviewed	Cytochrome c oxidase copper chaperone	COX17	Homo sapiens (Human)	63
10067		O14828	SCAM3_HUMAN	reviewed	Secretory carrier-associated membrane protein 3 (Secretory carrier membrane protein 3)	SCAMP3 C1orf3 PROPIN1	Homo sapiens (Human)	347
