xref_partners_sorted,GO,interpro
uniprotkb:P03169%uniprotkb:P23497,"host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0043900,host-GO:0044446,host-GO:0051716,host-GO:0040012,host-GO:0042221,host-GO:0051239,host-GO:0019904,host-GO:0051235,host-GO:1901363,host-GO:0071704,host-GO:0042802,host-GO:0050794,host-GO:0048518,host-GO:0048583,host-GO:0046983,host-GO:0006950,host-GO:0006807,host-GO:0048519,host-GO:0050793,host-GO:0016043,host-GO:0019899,host-GO:0065008,host-GO:0043228,host-GO:0097159,host-GO:0007165,host-GO:0044237,host-GO:0043227,host-GO:0032879,host-GO:0000988,host-GO:0005737,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0050690,virus-GO:0019083,virus-GO:0019048,virus-GO:0002682,virus-GO:0009607,virus-GO:0043900,virus-GO:0009605,virus-GO:0050794,virus-GO:0051707,virus-GO:0048583,virus-GO:0023051,virus-GO:0044419,virus-GO:0048519","host-IPR004865,host-IPR009071,host-IPR010919,host-IPR000770,virus-IPR010855"
uniprotkb:P06725%uniprotkb:P41218,"host-GO:0044444,host-GO:0044421,host-GO:0009058,host-GO:0045321,host-GO:0044238,host-GO:0043233,host-GO:0044446,host-GO:0044763,host-GO:0051716,host-GO:0005576,host-GO:1901363,host-GO:0071704,host-GO:0002682,host-GO:0050794,host-GO:0048518,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0002252,host-GO:0048519,host-GO:0043228,host-GO:0051234,host-GO:0097159,host-GO:0007165,host-GO:0070013,host-GO:0031974,host-GO:0043230,host-GO:0043227,host-GO:0044237,host-GO:0002253,host-GO:1902578,host-GO:0005737,host-GO:0019222,host-GO:0043229,virus-GO:0033647,virus-GO:0050690,virus-GO:0019048,virus-GO:0019033,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0051707,virus-GO:0048583,virus-GO:0065009,virus-GO:0019222,virus-GO:0030430,virus-GO:0044419,virus-GO:0048519","host-IPR004021,host-IPR004020,virus-IPR008649,virus-IPR029054"
uniprotkb:P06725%uniprotkb:Q16666-2,"host-GO:0044444,host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0043900,host-GO:0044446,host-GO:0002376,host-GO:0044763,host-GO:0051716,host-GO:0009628,host-GO:0007154,host-GO:0051239,host-GO:1901363,host-GO:0009056,host-GO:0071704,host-GO:0002682,host-GO:0009607,host-GO:0042802,host-GO:0009605,host-GO:0050794,host-GO:0048518,host-GO:0044767,host-GO:0016020,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0002252,host-GO:0048519,host-GO:0043228,host-GO:0097159,host-GO:0007165,host-GO:0008283,host-GO:0044237,host-GO:0043227,host-GO:0006955,host-GO:0001071,host-GO:0002253,host-GO:0048856,host-GO:0005737,host-GO:0051707,host-GO:0065009,host-GO:0019222,host-GO:0043229,virus-GO:0033647,virus-GO:0050690,virus-GO:0019048,virus-GO:0019033,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0051707,virus-GO:0048583,virus-GO:0065009,virus-GO:0019222,virus-GO:0030430,virus-GO:0044419,virus-GO:0048519","virus-IPR008649,virus-IPR029054"
uniprotkb:P06725%uniprotkb:Q6K0P9,"host-GO:0043227,host-GO:0044763,host-GO:0044446,host-GO:0043229,virus-GO:0033647,virus-GO:0050690,virus-GO:0019048,virus-GO:0019033,virus-GO:0002682,virus-GO:0009607,virus-GO:0009605,virus-GO:0050794,virus-GO:0051707,virus-GO:0048583,virus-GO:0065009,virus-GO:0019222,virus-GO:0030430,virus-GO:0044419,virus-GO:0048519","host-IPR004021,host-IPR004020,virus-IPR008649,virus-IPR029054"
uniprotkb:Q15326%uniprotkb:Q6SW29,"host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0044763,host-GO:0042393,host-GO:0003682,host-GO:1901363,host-GO:0071704,host-GO:0009607,host-GO:0009605,host-GO:0050794,host-GO:0048583,host-GO:0006950,host-GO:0006807,host-GO:0002252,host-GO:0048519,host-GO:0016043,host-GO:0043228,host-GO:0097159,host-GO:0043167,host-GO:0008283,host-GO:0044237,host-GO:0043227,host-GO:0000988,host-GO:0140030,host-GO:0051707,host-GO:0019222,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0019083,virus-GO:0044237,virus-GO:0019048,virus-GO:1901363,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0043900,virus-GO:0050794,virus-GO:0019222,virus-GO:0043167,virus-GO:0097159,virus-GO:0006807,virus-GO:0044419","host-IPR011011,host-IPR002893,host-IPR001965,host-IPR013083,host-IPR000313,host-IPR035505,host-IPR019787,host-IPR001487,host-IPR019786,virus-IPR005028,virus-IPR010855"
uniprotkb:Q6SW29%uniprotkb:Q96FJ2,"host-GO:0044444,host-GO:0033036,host-GO:0044446,host-GO:0044763,host-GO:0007017,host-GO:0009056,host-GO:0045505,host-GO:0005929,host-GO:0016020,host-GO:0050794,host-GO:0048518,host-GO:0048583,host-GO:0042995,host-GO:0051641,host-GO:0019882,host-GO:0099080,host-GO:0003824,host-GO:0044441,host-GO:0044463,host-GO:0016043,host-GO:0065008,host-GO:0043228,host-GO:0051234,host-GO:0008092,host-GO:0043227,host-GO:0044237,host-GO:0032879,host-GO:1902578,host-GO:0005737,host-GO:0051959,host-GO:0032991,host-GO:0065009,host-GO:0005886,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0019083,virus-GO:0044237,virus-GO:0019048,virus-GO:1901363,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0043900,virus-GO:0050794,virus-GO:0019222,virus-GO:0043167,virus-GO:0097159,virus-GO:0006807,virus-GO:0044419","host-IPR001372,host-IPR019763,virus-IPR005028,virus-IPR010855"
uniprotkb:P68400%uniprotkb:Q6SW29,"host-GO:0005956,host-GO:0044710,host-GO:0044444,host-GO:0009058,host-GO:0044238,host-GO:0044446,host-GO:0097367,host-GO:0044763,host-GO:1901363,host-GO:0009056,host-GO:0071704,host-GO:0000075,host-GO:0050794,host-GO:0048518,host-GO:0016020,host-GO:0048583,host-GO:0048511,host-GO:0006807,host-GO:0036094,host-GO:0003824,host-GO:0048519,host-GO:0040008,host-GO:0006457,host-GO:0097159,host-GO:0043167,host-GO:0007165,host-GO:0022402,host-GO:0044237,host-GO:0043227,host-GO:0047485,host-GO:0031072,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0005886,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0019083,virus-GO:0044237,virus-GO:0019048,virus-GO:1901363,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0043900,virus-GO:0050794,virus-GO:0019222,virus-GO:0043167,virus-GO:0097159,virus-GO:0006807,virus-GO:0044419","host-IPR011009,host-IPR017441,host-IPR000719,host-IPR008271,virus-IPR005028,virus-IPR010855"
uniprotkb:P67870%uniprotkb:Q6SW29,"host-GO:0005956,host-GO:0044710,host-GO:0044444,host-GO:0044421,host-GO:0008134,host-GO:0009058,host-GO:0044238,host-GO:0045321,host-GO:0043233,host-GO:0044446,host-GO:0044763,host-GO:0040012,host-GO:0042221,host-GO:0003682,host-GO:0051239,host-GO:0019904,host-GO:0005576,host-GO:0009056,host-GO:0071704,host-GO:0042802,host-GO:0005929,host-GO:0050794,host-GO:0048518,host-GO:0044767,host-GO:0016020,host-GO:0048583,host-GO:0042995,host-GO:0044877,host-GO:0006807,host-GO:0005102,host-GO:0003824,host-GO:0002252,host-GO:0048519,host-GO:0016043,host-GO:0051234,host-GO:0006457,host-GO:0043167,host-GO:0070013,host-GO:0007165,host-GO:0098772,host-GO:0031974,host-GO:0044237,host-GO:0043227,host-GO:0043230,host-GO:0009653,host-GO:0032879,host-GO:1902578,host-GO:0048856,host-GO:0005737,host-GO:0032991,host-GO:0065009,host-GO:0019222,host-GO:0005886,host-GO:0023051,host-GO:0043229,virus-GO:0033647,virus-GO:0019083,virus-GO:0044237,virus-GO:0019048,virus-GO:1901363,virus-GO:0009058,virus-GO:0071704,virus-GO:0044238,virus-GO:0043900,virus-GO:0050794,virus-GO:0019222,virus-GO:0043167,virus-GO:0097159,virus-GO:0006807,virus-GO:0044419","host-IPR000704,host-IPR016149,virus-IPR005028,virus-IPR010855"
uniprotkb:B9VXK6%uniprotkb:P07437,"host-GO:0044444,host-GO:0044421,host-GO:0009987,host-GO:0045321,host-GO:0043233,host-GO:0044446,host-GO:0097367,host-GO:0044297,host-GO:0044763,host-GO:0007017,host-GO:0044425,host-GO:0019904,host-GO:1901363,host-GO:0005576,host-GO:0016020,host-GO:0044877,host-GO:0051641,host-GO:0042267,host-GO:0099080,host-GO:0006950,host-GO:0036094,host-GO:0005102,host-GO:0002252,host-GO:0003824,host-GO:0001909,host-GO:0032403,host-GO:0016043,host-GO:0019899,host-GO:0043228,host-GO:0051234,host-GO:0097159,host-GO:0043167,host-GO:0070013,host-GO:0022402,host-GO:0031974,host-GO:0043230,host-GO:0043227,host-GO:0005198,host-GO:0006955,host-GO:1902578,host-GO:0005737,host-GO:0032991,host-GO:0030529,host-GO:0032794,host-GO:0043229","host-IPR000217,host-IPR002453,host-IPR018316,host-IPR003008,host-IPR017975,host-IPR008280,host-IPR013838,virus-IPR003360"
uniprotkb:B9VXK6%uniprotkb:P55795,"host-GO:0044237,host-GO:0043227,host-GO:0044444,host-GO:1901363,host-GO:0071704,host-GO:0044238,host-GO:0044446,host-GO:0016020,host-GO:0032991,host-GO:0097159,host-GO:0030529,host-GO:0006807,host-GO:0043229","host-IPR012996,host-IPR000504,virus-IPR003360"
